Data_type,Region,Subnational,Frequency,Unit,Source,Status,Series ID,SR Code,Trade Code,Mnemonic,Function Description,First Obs. Date,Last Obs. Date,Last Update Time,Series remarks,Suggestions,Mean,Variance,Standard Deviation,Skewness,Kurtosis,Coefficient Variation,Min,Max,Median,No. of Obs,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CN: Local Government Debt Outstanding: Hebei: Cangzhou,China,Cangzhou,"Annual, ending ""Dec"" of each year",RMB mn,Cangzhou Municipal Bureau of Statistics,Active,477090947 (CFBCHC),SR163595167,,,,2016,2021,18/08/2022,,,41029.532,428752297.876,20706.335,-0.582,0.328,0.505,7658.110,66124.000,41296.500,6,,,,,,,,,,,,,,,,,,7658.110,31802.080,37616.000,44977.000,58000.000,66124.000,
CN: Local Government Debt Outstanding: Hebei: Langfang,China,Langfang,"Annual, ending ""Dec"" of each year",RMB mn,Langfang Municipal Bureau of Statistics,Active,477090957 (CFBCHD),SR163595177,,,,2018,2021,18/08/2022,,,43970.000,351062548.667,18736.663,0.689,-2.057,0.426,27894.000,67712.000,40137.000,4,,,,,,,,,,,,,,,,,,,,27894.000,30095.000,50179.000,67712.000,
CN: Local Government Debt Outstanding: Hebei: Hengshui,China,Hengshui,"Annual, ending ""Dec"" of each year",RMB mn,Hengshui Municipal Bureau of Statistics,Active,477090967 (CFBCHE),SR163595187,,,,2018,2021,18/08/2022,,,31288.250,148034189.583,12166.930,0.610,-0.446,0.389,18712.000,46912.000,29764.500,4,,,,,,,,,,,,,,,,,,,,18712.000,25452.000,34077.000,46912.000,
CN: Local Government Debt Outstanding: Shanxi: Taiyuan,China,Taiyuan,"Annual, ending ""Dec"" of each year",RMB mn,Taiyuan Municipal Bureau of Statistics,Active,477090977 (CFBCHF),SR163595197,,,,2018,2020,20/04/2022,,,57183.093,124838420.925,11173.112,0.356,,0.195,46481.690,68774.660,56292.930,3,,,,,,,,,,,,,,,,,,,,46481.690,56292.930,68774.660,,
CN: Local Government Debt Outstanding: Inner Mongolia: Hohhot,China,Hohhot,"Annual, ending ""Dec"" of each year",RMB mn,Hohhot Municipal Bureau of Statistics,Active,477091087 (CFBCHQ),SR163595307,,,,2018,2021,18/08/2022,,,91992.115,39451905.642,6281.075,-0.626,-1.816,0.068,84067.330,97908.930,92996.100,4,,,,,,,,,,,,,,,,,,,,84067.330,89952.350,96039.850,97908.930,
CN: Local Government Debt Outstanding: Inner Mongolia: Baotou,China,Baotou,"Annual, ending ""Dec"" of each year",RMB mn,Baotou Municipal Bureau of Statistics,Active,477091097 (CFBCHR),SR163595317,,,,2018,2021,18/08/2022,,,95944.085,64851509.885,8053.044,-0.414,-1.923,0.084,86088.900,104216.980,96735.230,4,,,,,,,,,,,,,,,,,,,,86088.900,93011.170,100459.290,104216.980,
CN: Local Government Debt Outstanding: Inner Mongolia: Wuhai,China,Wuhai,"Annual, ending ""Dec"" of each year",RMB mn,Wuhai Municipal Bureau of Statistics,Active,477091107 (CFBCHS),SR163595327,,,,2018,2021,18/08/2022,,,20904.653,11142918.056,3338.101,-0.012,-3.735,0.160,17293.670,24490.600,20917.170,4,,,,,,,,,,,,,,,,,,,,17293.670,18976.780,22857.560,24490.600,
CN: Local Government Debt Outstanding: Inner Mongolia: Chifeng,China,Chifeng,"Annual, ending ""Dec"" of each year",RMB mn,Chifeng Municipal Bureau of Statistics,Active,477091117 (CFBCHT),SR163595337,,,,2018,2021,18/08/2022,,,45780.175,94798987.011,9736.477,-0.374,-0.754,0.213,33693.870,56382.480,46522.175,4,,,,,,,,,,,,,,,,,,,,33693.870,43000.230,50044.120,56382.480,
CN: Local Government Debt Outstanding: Inner Mongolia: Tongliao,China,Tongliao,"Annual, ending ""Dec"" of each year",RMB mn,Tongliao Municipal Bureau of Statistics,Active,477091127 (CFBCHU),SR163595347,,,,2018,2021,18/08/2022,,,49576.048,58911322.598,7675.371,-0.401,-1.536,0.155,40136.510,57635.150,50266.265,4,,,,,,,,,,,,,,,,,,,,40136.510,46970.270,53562.260,57635.150,
CN: Local Government Debt Outstanding: Inner Mongolia: Erdos,China,Erdos,"Annual, ending ""Dec"" of each year",RMB mn,Erdos Municipal Bureau of Statistics,Active,477091137 (CFBCHV),SR163595357,,,,2018,2021,18/08/2022,,,157094.935,93510253.618,9670.070,-0.430,-1.665,0.062,145179.840,167098.840,158050.530,4,,,,,,,,,,,,,,,,,,,,145179.840,153769.360,162331.700,167098.840,
CN: Local Government Debt Outstanding: Inner Mongolia: Hulunbeier,China,Hulunbeier,"Annual, ending ""Dec"" of each year",RMB mn,Hulunbeier Municipal Bureau of Statistics,Active,477091147 (CFBCHW),SR163595367,,,,2018,2021,18/08/2022,,,46438.688,74794167.691,8648.362,0.205,-2.385,0.186,37158.970,56582.350,46006.715,4,,,,,,,,,,,,,,,,,,,,37158.970,41823.280,50190.150,56582.350,
CN: Local Government Debt Outstanding: Inner Mongolia: Bayannaoer,China,Bayannaoer,"Annual, ending ""Dec"" of each year",RMB mn,Bayannaoer Municipal Bureau of Statistics,Active,477091157 (CFBCHX),SR163595377,,,,2018,2021,18/08/2022,,,38939.995,80811705.468,8989.533,0.730,-1.263,0.231,30551.670,50517.050,37345.630,4,,,,,,,,,,,,,,,,,,,,30551.670,33286.140,41405.120,50517.050,
CN: Local Government Debt Outstanding: Inner Mongolia: Wulanchabu,China,Wulanchabu,"Annual, ending ""Dec"" of each year",RMB mn,Wulanchabu Municipal Bureau of Statistics,Active,477091167 (CFBCHY),SR163595387,,,,2018,2021,18/08/2022,,,64280.015,71344904.053,8446.591,0.155,-2.840,0.131,55250.640,73987.650,63940.885,4,,,,,,,,,,,,,,,,,,,,55250.640,59579.870,68301.900,73987.650,
CN: Local Government Debt Outstanding: Liaoning: Shenyang,China,Shenyang,"Annual, ending ""Dec"" of each year",RMB mn,Shenyang Municipal Bureau of Statistics,Active,477091177 (CFBCHZ),SR163595397,,,,2016,2021,13/10/2022,,,173787.232,21435665.964,4629.867,0.293,-1.573,0.027,168579.970,180187.640,173380.475,6,,,,,,,,,,,,,,,,,,172183.000,169365.000,168579.970,174577.950,177829.830,180187.640,
CN: Local Government Debt Outstanding: Liaoning: Dalian,China,Dalian,"Annual, ending ""Dec"" of each year",RMB mn,Dalian Municipal Bureau of Statistics,Active,477091187 (CFBCIA),SR163595407,,,,2016,2021,13/10/2022,,,204818.197,266550986.051,16326.389,2.099,4.508,0.080,193910.000,236949.810,198071.615,6,,,,,,,,,,,,,,,,,,195470.000,193910.000,198450.000,197693.230,206436.140,236949.810,
CN: Local Government Debt Outstanding: Liaoning: Huludao,China,Huludao,"Annual, ending ""Dec"" of each year",RMB mn,Huludao Municipal Bureau of Statistics,Active,477091307 (CFBCIM),SR163595527,,,,2016,2021,13/10/2022,,,37422.778,4210522.898,2051.956,0.589,-0.990,0.055,35261.870,40504.120,37061.770,6,,,,,,,,,,,,,,,,,,35530.000,35261.870,36766.560,37356.980,39117.140,40504.120,
CN: Local Government Debt Outstanding: Jilin: Changchun,China,Changchun,"Annual, ending ""Dec"" of each year",RMB mn,Changchun Municipal Bureau of Statistics,Active,477091317 (CFBCIN),SR163595537,,,,2015,2020,20/04/2022,,,116066.213,466429046.369,21596.968,1.312,1.072,0.186,98565.000,153914.000,108450.640,6,,,,,,,,,,,,,,,,,105125.280,98565.000,98639.000,111776.000,128378.000,153914.000,,
CN: Local Government Debt Outstanding: Heilongjiang: Harbin,China,Harbin,"Annual, ending ""Dec"" of each year",RMB mn,Harbin Municipal Bureau of Statistics,Active,477091397 (CFBCIV),SR163595617,,,,2017,2021,08/09/2022,,,220655.040,1463350158.188,38253.760,0.324,-1.850,0.173,177657.590,270118.250,213123.070,5,,,,,,,,,,,,,,,,,,,177657.590,193795.520,213123.070,248580.770,270118.250,
CN: Local Government Debt Outstanding: Heilongjiang: Qiqihar,China,Qiqihar,"Annual, ending ""Dec"" of each year",RMB mn,Qiqihar Municipal Bureau of Statistics,Active,477091407 (CFBCIW),SR163595627,,,,2017,2021,28/09/2022,,,25651.680,80820043.629,8989.997,0.053,-0.825,0.350,14304.940,37444.130,26265.790,5,,,,,,,,,,,,,,,,,,,14304.940,19900.130,26265.790,30343.410,37444.130,
CN: Local Government Debt Outstanding: Heilongjiang: Jixi,China,Jixi,"Annual, ending ""Dec"" of each year",RMB mn,Jixi Municipal Bureau of Statistics,Active,477091417 (CFBCIX),SR163595637,,,,2017,2021,28/09/2022,,,12461.926,17046713.606,4128.767,0.721,-1.272,0.331,8271.310,18291.360,10674.510,5,,,,,,,,,,,,,,,,,,,8271.310,9944.180,10674.510,15128.270,18291.360,
CN: Local Government Debt Outstanding: Heilongjiang: Hegang,China,Hegang,"Annual, ending ""Dec"" of each year",RMB mn,Hegang Municipal Bureau of Statistics,Active,477091427 (CFBCIY),SR163595647,,,,2017,2021,28/09/2022,,,10870.604,11736725.876,3425.891,-0.336,-1.530,0.315,6352.010,14804.970,11541.670,5,,,,,,,,,,,,,,,,,,,6352.010,8525.460,11541.670,13128.910,14804.970,
CN: Local Government Debt Outstanding: Heilongjiang: Shuangyashan,China,Shuangyashan,"Annual, ending ""Dec"" of each year",RMB mn,Shuangyashan Municipal Bureau of Statistics,Active,477091437 (CFBCIZ),SR163595657,,,,2017,2021,28/09/2022,,,17166.622,32457646.269,5697.161,0.050,-0.706,0.332,9865.370,24619.860,17102.840,5,,,,,,,,,,,,,,,,,,,9865.370,13884.960,17102.840,20360.080,24619.860,
CN: Local Government Debt Outstanding: Heilongjiang: Daqing,China,Daqing,"Annual, ending ""Dec"" of each year",RMB mn,Daqing Municipal Bureau of Statistics,Active,477091447 (CFBCJA),SR163595667,,,,2017,2021,28/09/2022,,,24278.202,21260684.058,4610.931,-0.028,-0.813,0.190,18274.430,30157.450,24090.960,5,,,,,,,,,,,,,,,,,,,18274.430,21755.630,24090.960,27112.540,30157.450,
CN: Local Government Debt Outstanding: Heilongjiang: Yichun,China,Yichun,"Annual, ending ""Dec"" of each year",RMB mn,Yichun Municipal Bureau of Statistics,Active,477091457 (CFBCJB),SR163595677,,,,2017,2021,28/09/2022,,,13999.354,11740060.142,3426.377,-0.347,0.096,0.245,9158.000,18255.900,14227.240,5,,,,,,,,,,,,,,,,,,,9158.000,12551.820,14227.240,15803.810,18255.900,
CN: Local Government Debt Outstanding: Heilongjiang: Jiamusi,China,Jiamusi,"Annual, ending ""Dec"" of each year",RMB mn,Jiamusi Municipal Bureau of Statistics,Active,477091467 (CFBCJC),SR163595687,,,,2017,2021,28/09/2022,,,23342.836,86156993.540,9282.079,0.607,-0.662,0.398,13238.610,36611.850,21611.300,5,,,,,,,,,,,,,,,,,,,13238.610,17038.700,21611.300,28213.720,36611.850,
CN: Local Government Debt Outstanding: Heilongjiang: Qitaihe,China,Qitaihe,"Annual, ending ""Dec"" of each year",RMB mn,Qitaihe Municipal Bureau of Statistics,Active,477091477 (CFBCJD),SR163595697,,,,2017,2021,28/09/2022,,,12633.632,39639343.217,6295.978,0.340,-1.939,0.498,5846.760,20819.820,11704.330,5,,,,,,,,,,,,,,,,,,,5846.760,7681.210,11704.330,17116.040,20819.820,
CN: Local Government Debt Outstanding: Heilongjiang: Mudanjiang,China,Mudanjiang,"Annual, ending ""Dec"" of each year",RMB mn,Mudanjiang Municipal Bureau of Statistics,Active,477091487 (CFBCJE),SR163595707,,,,2017,2021,28/09/2022,,,30704.540,63947543.106,7996.721,0.327,-0.436,0.260,21114.000,41842.120,30841.430,5,,,,,,,,,,,,,,,,,,,21114.000,25484.820,30841.430,34240.330,41842.120,
CN: Local Government Debt Outstanding: Heilongjiang: Heihe,China,Heihe,"Annual, ending ""Dec"" of each year",RMB mn,Heihe Municipal Bureau of Statistics,Active,477091497 (CFBCJF),SR163595717,,,,2017,2021,28/09/2022,,,9012.086,22879745.259,4783.278,0.899,-0.011,0.531,4194.880,16207.280,7665.480,5,,,,,,,,,,,,,,,,,,,4194.880,5832.050,7665.480,11160.740,16207.280,
CN: Local Government Debt Outstanding: Heilongjiang: Suihua,China,Suihua,"Annual, ending ""Dec"" of each year",RMB mn,Suihua Municipal Bureau of Statistics,Active,477091507 (CFBCJG),SR163595727,,,,2017,2021,28/09/2022,,,27068.644,98358825.894,9917.602,0.085,-1.810,0.366,15326.520,39476.190,27000.980,5,,,,,,,,,,,,,,,,,,,15326.520,19648.410,27000.980,33891.120,39476.190,
CN: Local Government Debt Outstanding: Shanghai,China,Shanghai,"Annual, ending ""Dec"" of each year",RMB mn,Shanghai Municipal Bureau of Statistics,Active,477091517 (CFBCJH),SR163595737,,,,2015,2021,20/04/2022,,,558083.953,12775756034.097,113029.890,0.863,-1.030,0.203,448548.000,735676.941,503490.000,7,,,,,,,,,,,,,,,,,488100.000,448548.000,469418.000,503490.000,572206.730,689148.000,735676.941,
CN: Local Government Debt Outstanding: Jiangsu: Nanjing,China,Nanjing,"Annual, ending ""Dec"" of each year",RMB mn,Nanjing Municipal Bureau of Statistics,Active,477091527 (CFBCJI),SR163595747,,,,2015,2021,18/08/2022,,,252108.817,623958545.154,24979.162,0.688,-1.429,0.099,227787.000,288997.000,242004.000,7,,,,,,,,,,,,,,,,,229865.720,227787.000,235714.000,242004.000,258547.000,281847.000,288997.000,
CN: Local Government Debt Outstanding: Jiangsu: Wuxi,China,Wuxi,"Annual, ending ""Dec"" of each year",RMB mn,Wuxi Municipal Bureau of Statistics,Active,477091537 (CFBCJJ),SR163595757,,,,2018,2021,18/08/2022,,,132887.250,542964364.917,23301.596,0.291,-2.058,0.175,108162.000,160806.000,131290.500,4,,,,,,,,,,,,,,,,,,,,108162.000,120497.000,142084.000,160806.000,
CN: Local Government Debt Outstanding: Jiangsu: Xuzhou,China,Xuzhou,"Annual, ending ""Dec"" of each year",RMB mn,Xuzhou Municipal Bureau of Statistics,Active,477091547 (CFBCJK),SR163595767,,,,2017,2021,18/08/2022,,,60871.821,1741664469.458,41733.254,1.908,3.824,0.686,29582.070,133227.000,46582.869,5,,,,,,,,,,,,,,,,,,,29582.070,37745.168,46582.869,57222.000,133227.000,
CN: Local Government Debt Outstanding: Jiangsu: Changzhou,China,Changzhou,"Annual, ending ""Dec"" of each year",RMB mn,Changzhou Municipal Bureau of Statistics,Active,477091557 (CFBCJL),SR163595777,,,,2017,2021,18/08/2022,,,103997.400,805766270.800,28386.022,0.256,-1.266,0.273,70300.000,141533.000,100684.000,5,,,,,,,,,,,,,,,,,,,70300.000,85466.000,100684.000,122004.000,141533.000,
CN: Local Government Debt Outstanding: Jiangsu: Suzhou,China,Suzhou,"Annual, ending ""Dec"" of each year",RMB mn,Suzhou Municipal Bureau of Statistics,Active,477091567 (CFBCJM),SR163595787,,,,2017,2021,18/08/2022,,,144756.200,111248891.200,10547.459,0.716,-2.378,0.073,136318.000,158836.000,139062.000,5,,,,,,,,,,,,,,,,,,,136323.000,136318.000,139062.000,153242.000,158836.000,
CN: Local Government Debt Outstanding: Jiangsu: Nantong,China,Nantong,"Annual, ending ""Dec"" of each year",RMB mn,Nantong Municipal Bureau of Statistics,Active,477091577 (CFBCJN),SR163595797,,,,2017,2021,18/08/2022,,,160438.000,306888641.500,17518.237,0.728,-0.045,0.109,141157.000,186270.000,156269.000,5,,,,,,,,,,,,,,,,,,,141157.000,150074.000,156269.000,168420.000,186270.000,
CN: Local Government Debt Outstanding: Jiangsu: Lianyungang,China,Lianyungang,"Annual, ending ""Dec"" of each year",RMB mn,Lianyungang Municipal Bureau of Statistics,Active,477091587 (CFBCJO),SR163595807,,,,2017,2021,18/08/2022,,,53482.696,108289306.066,10406.215,-0.065,-1.724,0.195,40375.400,65842.000,53075.200,5,,,,,,,,,,,,,,,,,,,40375.400,46719.800,53075.200,61401.080,65842.000,
CN: Local Government Debt Outstanding: Jiangsu: Huaian,China,Huaian,"Annual, ending ""Dec"" of each year",RMB mn,Huaian Municipal Bureau of Statistics,Active,477091597 (CFBCJP),SR163595817,,,,2017,2021,18/08/2022,,,58166.400,74327815.300,8621.358,0.023,-1.090,0.148,47339.000,69262.000,58621.000,5,,,,,,,,,,,,,,,,,,,47339.000,52490.000,58621.000,63120.000,69262.000,
CN: Local Government Debt Outstanding: Jiangsu: Yancheng,China,Yancheng,"Annual, ending ""Dec"" of each year",RMB mn,Yancheng Municipal Bureau of Statistics,Active,477091607 (CFBCJQ),SR163595827,,,,2017,2021,18/08/2022,,,118091.892,614684483.998,24792.831,-0.090,-1.784,0.210,86878.000,147283.000,117738.000,5,,,,,,,,,,,,,,,,,,,86878.000,101541.000,117738.000,137019.460,147283.000,
CN: Local Government Debt Outstanding: Jiangsu: Yangzhou,China,Yangzhou,"Annual, ending ""Dec"" of each year",RMB mn,Yangzhou Municipal Bureau of Statistics,Active,477091617 (CFBCJR),SR163595837,,,,2017,2021,18/08/2022,,,84039.556,121766971.175,11034.807,-0.148,-0.966,0.131,69552.240,97769.000,84998.880,5,,,,,,,,,,,,,,,,,,,69552.240,77315.110,84998.880,90562.550,97769.000,
CN: Local Government Debt Outstanding: Jiangsu: Zhenjiang,China,Zhenjiang,"Annual, ending ""Dec"" of each year",RMB mn,Zhenjiang Municipal Bureau of Statistics,Active,477091627 (CFBCJS),SR163595847,,,,2018,2021,18/08/2022,,,132091.500,2833837575.000,53233.801,-0.089,-1.874,0.403,70216.000,191830.000,133160.000,4,,,,,,,,,,,,,,,,,,,,70216.000,109687.000,156633.000,191830.000,
CN: Local Government Debt Outstanding: Jiangsu: Taizhou,China,Taizhou,"Annual, ending ""Dec"" of each year",RMB mn,Taizhou Municipal Bureau of Statistics,Active,477091637 (CFBCJT),SR163595857,,,,2017,2021,18/08/2022,,,79013.200,139469856.200,11809.736,0.810,-0.065,0.149,66535.000,96583.000,75919.000,5,,,,,,,,,,,,,,,,,,,66535.000,71615.000,75919.000,84414.000,96583.000,
CN: Local Government Debt Outstanding: Jiangsu: Suqian,China,Suqian,"Annual, ending ""Dec"" of each year",RMB mn,Suqian Municipal Bureau of Statistics,Active,477091647 (CFBCJU),SR163595867,,,,2018,2021,18/08/2022,,,72675.356,182816332.832,13520.959,-0.114,-2.270,0.186,57036.000,87584.000,73040.712,4,,,,,,,,,,,,,,,,,,,,57036.000,66664.000,79417.424,87584.000,
CN: Local Government Debt Outstanding: Zhejiang: Hangzhou,China,Hangzhou,"Annual, ending ""Dec"" of each year",RMB mn,Hangzhou Municipal Bureau of Statistics,Active,477091657 (CFBCJV),SR163595877,,,,2016,2021,22/07/2022,,,249735.470,2900899347.108,53859.998,0.780,-0.078,0.216,192444.120,336926.000,241148.000,6,,,,,,,,,,,,,,,,,,192444.120,204278.700,228210.000,254086.000,282468.000,336926.000,
CN: Local Government Debt Outstanding: Zhejiang: Ningbo,China,Ningbo,"Annual, ending ""Dec"" of each year",RMB mn,Ningbo Municipal Bureau of Statistics,Active,477091667 (CFBCJW),SR163595887,,,,2016,2021,13/09/2022,,,189636.690,1758935531.951,41939.665,0.513,-0.269,0.221,139571.890,254866.110,186439.945,6,,,,,,,,,,,,,,,,,,139571.890,154354.490,180729.980,192149.910,216147.760,254866.110,
CN: Local Government Debt Outstanding: Zhejiang: Wenzhou,China,Wenzhou,"Annual, ending ""Dec"" of each year",RMB mn,Wenzhou Municipal Bureau of Statistics,Active,477091677 (CFBCJX),SR163595897,,,,2017,2021,18/08/2022,,,140429.379,2291940804.740,47874.219,0.864,0.259,0.341,89831.364,212666.000,128764.000,5,,,,,,,,,,,,,,,,,,,89831.364,110910.532,128764.000,159975.000,212666.000,
CN: Local Government Debt Outstanding: Zhejiang: Jiaxing,China,Jiaxing,"Annual, ending ""Dec"" of each year",RMB mn,Jiaxing Municipal Bureau of Statistics,Active,477091687 (CFBCJY),SR163595907,,,,2017,2021,18/08/2022,,,103649.800,426683887.200,20656.328,0.501,-1.373,0.199,81170.000,131903.000,98722.000,5,,,,,,,,,,,,,,,,,,,81170.000,89470.000,98722.000,116984.000,131903.000,
CN: Local Government Debt Outstanding: Zhejiang: Huzhou,China,Huzhou,"Annual, ending ""Dec"" of each year",RMB mn,Huzhou Municipal Bureau of Statistics,Active,477091697 (CFBCJZ),SR163595917,,,,2017,2021,18/08/2022,,,79083.600,211170443.300,14531.705,1.312,1.159,0.184,66710.000,102341.000,73318.000,5,,,,,,,,,,,,,,,,,,,66710.000,69302.000,73318.000,83747.000,102341.000,
CN: Local Government Debt Outstanding: Zhejiang: Shaoxing,China,Shaoxing,"Annual, ending ""Dec"" of each year",RMB mn,Shaoxing Municipal Bureau of Statistics,Active,477091707 (CFBCKA),SR163595927,,,,2017,2021,18/08/2022,,,108127.723,694735077.718,26357.828,0.400,-1.361,0.244,78589.617,143732.000,103888.000,5,,,,,,,,,,,,,,,,,,,78589.617,89620.000,103888.000,124809.000,143732.000,
CN: Local Government Debt Outstanding: Zhejiang: Jinhua,China,Jinhua,"Annual, ending ""Dec"" of each year",RMB mn,Jinhua Municipal Bureau of Statistics,Active,477091717 (CFBCKB),SR163595937,,,,2017,2021,18/08/2022,,,85297.753,539850123.296,23234.675,0.420,-1.354,0.272,59241.764,116731.000,80801.000,5,,,,,,,,,,,,,,,,,,,59241.764,69498.000,80801.000,100217.000,116731.000,
CN: Local Government Debt Outstanding: Zhejiang: Quzhou,China,Quzhou,"Annual, ending ""Dec"" of each year",RMB mn,Quzhou Municipal Bureau of Statistics,Active,477091727 (CFBCKC),SR163595947,,,,2018,2021,18/08/2022,,,49951.260,113866752.057,10670.837,-0.496,-1.830,0.214,36719.040,60640.000,51223.000,4,,,,,,,,,,,,,,,,,,,,36719.040,46272.000,60640.000,56174.000,
CN: Local Government Debt Outstanding: Zhejiang: Zhoushan,China,Zhoushan,"Annual, ending ""Dec"" of each year",RMB mn,Zhoushan Municipal Bureau of Statistics,Active,477091737 (CFBCKD),SR163595957,,,,2015,2021,15/11/2022,,,42087.286,73590396.571,8578.485,0.736,-0.769,0.204,33620.000,56174.000,40466.000,7,,,,,,,,,,,,,,,,,35467.000,33620.000,34573.000,40466.000,44230.000,50081.000,56174.000,
CN: Local Government Debt Outstanding: Zhejiang: Taizhou,China,Taizhou,"Annual, ending ""Dec"" of each year",RMB mn,Tai zhou Municipal Bureau of Statistics,Active,477091747 (CFBCKE),SR163595967,,,,2016,2021,15/11/2022,,,95521.217,910728890.389,30178.285,0.430,-1.114,0.316,60877.130,139688.000,91821.000,6,,,,,,,,,,,,,,,,,,60877.130,69164.170,84990.000,98652.000,119756.000,139688.000,
CN: Local Government Debt Outstanding: Zhejiang: Lishui,China,Lishui,"Annual, ending ""Dec"" of each year",RMB mn,Lishui Municipal Bureau of Statistics,Active,477091757 (CFBCKF),SR163595977,,,,2018,2021,18/08/2022,,,61391.750,314930538.917,17746.282,0.374,-1.384,0.289,42500.000,83192.000,59937.500,4,,,,,,,,,,,,,,,,,,,,42500.000,52575.000,67300.000,83192.000,
