Province,Country,Region,Frequency,Unit,Source,Status,Series ID,SR Code,Trade Code,Mnemonic,Function Description,First Obs. Date,Last Obs. Date,Last Update Time,Series remarks,Suggestions,Mean,Variance,Standard Deviation,Skewness,Kurtosis,Coefficient Variation,Min,Max,Median,No. of Obs,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CN: GDP: Shanxi: Datong,China,Datong,"Annual, ending ""Dec"" of each year",RMB bn,Datong Municipal Bureau of Statistics,Active,146383301 (CAAHCP),SR1928427,,,,1991,2021,22/12/2022,,,73.935,2011.493,44.850,0.325,-0.934,0.607,15.696,168.605,69.514,23,15.696,17.018,19.020,21.839,25.154,30.473,37.025,40.596,49.085,56.963,59.626,69.514,84.358,92.173,97.108,100.173,105.337,103.303,112.131,127.196,131.121,136.991,168.605,
CN: GDP: Shanxi: Yangquan,China,Yangquan,"Annual, ending ""Dec"" of each year",RMB bn,Yangquan Municipal Bureau of Statistics,Active,146383401 (CAAHCQ),SR1927151,,,,1991,2022,31/01/2023,,,45.227,788.663,28.083,0.211,-1.084,0.621,9.095,101.290,48.127,24,9.095,9.471,10.040,10.917,12.592,15.150,20.025,23.744,27.324,31.065,34.871,43.216,53.038,60.415,61.459,61.662,59.570,62.286,67.202,73.369,71.771,74.224,91.658,101.290
CN: GDP: Shanxi: Changzhi,China,Changzhi,"Annual, ending ""Dec"" of each year",RMB bn,Changzhi Municipal Bureau of Statistics,Active,146383501 (CAAHCR),SR1927810,,,,1991,2022,09/02/2023,,,101.435,5109.384,71.480,0.690,0.147,0.705,15.354,280.480,105.779,24,15.354,17.020,18.459,20.602,25.566,31.847,39.875,46.040,55.063,68.213,77.529,92.023,121.860,132.861,133.372,133.114,119.534,127.048,147.753,164.563,163.992,171.164,231.108,280.480
CN: GDP: Shanxi: Jincheng,China,Jincheng,"Annual, ending ""Dec"" of each year",RMB bn,Jincheng Municipal Bureau of Statistics,Active,146383601 (CAAHCS),SR1926908,,,,1991,2022,16/02/2023,,,81.595,3454.206,58.772,0.781,0.287,0.720,13.360,230.540,81.276,24,13.360,14.454,15.803,17.203,19.851,24.451,31.600,36.441,41.996,52.755,60.605,73.054,89.498,101.281,103.191,103.582,104.024,104.934,115.154,135.185,135.516,142.572,191.242,230.540
CN: GDP: Shanxi: Shuozhou,China,Shuozhou,"Annual, ending ""Dec"" of each year",RMB bn,Shuozhou Municipal Bureau of Statistics,Active,146383701 (CAAHCT),SR1927218,,,,1991,2022,09/03/2023,,,66.171,2156.039,46.433,0.103,-1.288,0.702,7.695,153.620,76.267,24,7.695,8.353,8.535,10.040,11.860,14.521,18.165,23.413,33.219,42.040,56.131,67.015,85.520,100.712,102.640,100.341,90.113,91.806,98.022,106.563,105.668,110.049,142.065,153.620
CN: GDP: Shanxi: Jinzhong,China,Jinzhong,"Annual, ending ""Dec"" of each year",RMB bn,Jinzhong Municipal Bureau of Statistics,Active,146383801 (CAAHCU),SR1926815,,,,2000,2022,09/02/2023,,,85.880,3201.387,56.581,0.484,-0.511,0.659,13.837,211.230,89.024,23,,13.837,14.900,17.014,20.344,25.391,33.102,38.568,47.020,56.781,63.681,76.384,89.024,98.656,102.223,104.130,104.612,109.110,128.492,144.760,144.762,146.877,184.345,211.230
CN: GDP: Shanxi: Yuncheng,China,Yuncheng,"Annual, ending ""Dec"" of each year",RMB bn,Yuncheng Municipal Bureau of Statistics,Active,146383901 (CAAHCV),SR1928671,,,,1991,2022,16/02/2023,,,97.222,3489.927,59.076,0.517,-0.290,0.608,17.185,230.110,101.682,23,,17.185,19.350,23.052,29.362,36.828,47.083,55.021,61.951,69.145,72.301,82.743,101.682,106.865,114.012,120.172,117.401,122.230,133.629,150.964,155.354,164.365,205.307,230.110
CN: GDP: Shanxi: Xinzhou,China,Xinzhou,"Annual, ending ""Dec"" of each year",RMB bn,Xinzhou Municipal Bureau of Statistics,Active,146384001 (CAAHCW),SR1927111,,,,1991,2022,09/02/2023,,,55.915,1736.662,41.673,0.673,-0.334,0.745,8.342,150.060,55.455,23,,8.342,8.435,9.341,10.938,13.019,16.717,19.445,25.728,31.125,34.931,43.746,55.455,62.094,65.473,68.034,68.124,71.614,87.449,98.913,99.168,103.456,134.443,150.060
CN: GDP: Shanxi: Linfen,China,Linfen,"Annual, ending ""Dec"" of each year",RMB bn,Linfen Municipal Bureau of Statistics,Active,146384101 (CAAHCX),SR1927716,,,,1991,2022,01/02/2023,,,97.618,3078.634,55.485,0.311,-0.332,0.568,17.110,222.790,113.606,23,,17.110,19.244,22.391,29.530,37.594,52.316,58.874,65.809,75.463,76.687,89.014,113.606,122.108,122.390,121.324,116.111,120.518,132.033,144.004,144.838,150.516,190.947,222.790
CN: GDP: Shanxi: Lvliang,China,Lvliang,"Annual, ending ""Dec"" of each year",RMB bn,Lvliang Municipal Bureau of Statistics,Active,146384201 (CAAHCY),SR1927234,,,,2003,2022,08/02/2023,,,102.662,3635.109,60.292,0.529,0.174,0.587,13.496,241.890,104.833,20,,,,,13.496,17.959,30.952,40.575,50.767,62.964,61.156,84.554,113.071,123.042,122.860,110.135,95.580,99.531,131.032,142.032,150.703,153.804,207.137,241.890
CN: GDP: Inner Mongolia: Hohhot,China,Hohhot,"Annual, ending ""Dec"" of each year",RMB bn,Hohhot Municipal Bureau of Statistics,Active,146384301 (CAAHCZ),SR1927834,,,,1991,2022,02/02/2023,,,181.446,13329.146,115.452,-0.226,-1.657,0.636,15.643,332.900,202.149,24,15.643,17.915,21.112,31.670,40.620,51.210,74.366,90.008,110.113,131.637,164.399,186.571,217.727,245.874,271.039,289.405,309.052,317.359,274.372,290.350,279.146,280.068,312.140,332.900
CN: GDP: Inner Mongolia: Baotou,China,Baotou,"Annual, ending ""Dec"" of each year",RMB bn,Baotou Municipal Bureau of Statistics,Active,146384401 (CAAHDA),SR1927616,,,,1991,2022,29/01/2023,,,211.345,17522.311,132.372,-0.263,-1.563,0.626,21.406,386.763,258.764,24,21.406,22.837,24.857,33.302,45.019,60.833,84.870,101.012,127.720,176.000,216.880,246.081,300.540,320.914,342.475,363.631,372.193,386.763,275.303,295.180,271.447,278.736,329.300,374.990
CN: GDP: Inner Mongolia: Wuhai,China,Wuhai,"Annual, ending ""Dec"" of each year",RMB bn,Wuhai Municipal Bureau of Statistics,Active,146384501 (CAAHDB),SR1928184,,,,1991,2022,02/02/2023,,,35.856,593.631,24.365,0.012,-1.381,0.680,3.385,80.300,40.235,24,3.385,3.822,4.392,5.140,6.763,9.137,12.560,15.240,19.004,24.010,31.121,39.112,48.324,53.191,57.509,60.102,55.983,57.223,41.358,49.590,55.095,56.314,71.870,80.300
CN: GDP: Inner Mongolia: Chifeng,China,Chifeng,"Annual, ending ""Dec"" of each year",RMB bn,Chifeng Municipal Bureau of Statistics,Active,146384601 (CAAHDC),SR1927368,,,,1991,2022,02/02/2023,,,108.754,5002.780,70.730,-0.086,-1.682,0.650,15.393,214.800,121.671,24,15.393,16.081,17.962,20.541,24.248,32.665,34.756,42.801,59.014,75.239,91.289,108.623,134.719,155.682,168.615,177.837,186.127,193.328,140.680,154.980,170.838,176.360,197.510,214.800
CN: GDP: Inner Mongolia: Tongliao,China,Tongliao,"Annual, ending ""Dec"" of each year",RMB bn,Tongliao Municipal Bureau of Statistics,Active,146384701 (CAAHDD),SR1928073,,,,1991,2022,02/02/2023,,,100.261,4123.115,64.211,-0.065,-1.528,0.640,13.460,194.938,119.962,24,13.460,14.879,17.372,20.307,23.815,27.708,32.932,41.303,58.614,74.196,96.139,117.662,144.882,169.319,178.180,188.680,187.727,194.938,122.262,130.160,126.726,127.664,141.140,156.200
CN: GDP: Inner Mongolia: Erdos,China,Erdos,"Annual, ending ""Dec"" of each year",RMB bn,Erdos Municipal Bureau of Statistics,Active,146384801 (CAAHDE),SR1926901,,,,2001,2022,02/02/2023,,,265.102,29347.061,171.310,-0.215,-1.340,0.646,17.184,561.300,337.610,22,,,17.184,20.477,27.140,38.038,59.482,80.000,115.091,160.302,216.100,264.323,321.854,365.680,395.590,405.549,422.613,441.793,357.981,376.320,360.503,353.366,471.570,561.300
CN: GDP: Inner Mongolia: Hulunbeier,China,Hulunbeier,"Annual, ending ""Dec"" of each year",RMB bn,Hulunbeier Municipal Bureau of Statistics,Active,146384901 (CAAHDF),SR1926674,,,,1991,2022,02/02/2023,,,94.319,2672.364,51.695,-0.302,-1.504,0.548,16.785,162.086,115.876,22,,,16.785,19.036,21.326,26.179,32.408,39.506,50.504,63.266,77.927,93.201,114.531,133.582,143.081,152.220,159.895,162.086,118.586,125.290,119.303,117.220,135.480,153.600
CN: GDP: Inner Mongolia: Bayannaoer,China,Bayannaoer,"Annual, ending ""Dec"" of each year",RMB bn,Bayannaoer Municipal Bureau of Statistics,Active,146385001 (CAAHDG),SR1928832,,,,2003,2022,02/02/2023,,,65.602,844.779,29.065,-0.531,-1.092,0.443,15.137,108.500,76.172,20,,,,,15.137,18.949,21.703,27.823,35.515,43.906,50.987,60.333,71.845,78.334,83.490,86.746,88.743,91.538,74.010,81.310,87.501,87.400,98.270,108.500
CN: GDP: Inner Mongolia: Wulanchabu,China,Wulanchabu,"Annual, ending ""Dec"" of each year",RMB bn,Wulanchabu Municipal Bureau of Statistics,Active,146385101 (CAAHDH),SR1928144,,,,2003,2022,02/02/2023,,,63.858,772.652,27.797,-0.539,-1.150,0.435,15.530,101.800,74.284,20,,,,,15.530,18.318,23.021,28.509,34.400,43.469,50.001,56.760,69.004,77.871,83.379,87.373,91.377,93.887,72.118,76.450,80.842,82.689,90.360,101.800
CN: GDP: Liaoning: Shenyang,China,Shenyang,"Annual, ending ""Dec"" of each year",RMB bn,Shenyang Municipal Bureau of Statistics,Active,146385201 (CAAHDI),SR1926983,,,,1991,2022,20/02/2023,,,382.945,46457.267,215.539,0.182,-1.275,0.563,95.580,769.580,376.860,24,95.580,104.682,114.855,126.872,140.189,153.913,181.066,212.237,254.093,294.106,322.335,352.738,400.982,439.555,475.718,505.309,524.290,528.891,554.923,610.192,646.450,657.156,724.968,769.580
CN: GDP: Liaoning: Dalian,China,Dalian,"Annual, ending ""Dec"" of each year",RMB bn,Dalian Municipal Bureau of Statistics,Active,146385301 (CAAHDJ),SR1928068,,,,1991,2022,13/02/2023,,,402.059,55285.365,235.128,0.284,-1.189,0.585,96.350,843.090,383.850,24,96.350,106.200,117.390,133.400,144.880,160.460,186.570,215.530,253.560,295.350,325.170,355.610,412.090,450.490,490.320,518.190,540.010,564.800,605.220,650.090,699.000,703.040,782.595,843.090
CN: GDP: Liaoning: Anshan,China,Anshan,"Annual, ending ""Dec"" of each year",RMB bn,Anshan Municipal Bureau of Statistics,Active,146385401 (CAAHDK),SR1928822,,,,1991,2022,15/02/2023,,,156.040,4155.542,64.463,-0.101,-1.091,0.413,52.497,262.325,167.179,24,52.497,58.122,64.151,70.896,79.037,100.600,101.801,113.601,134.354,160.786,173.047,212.501,239.876,242.932,262.325,238.590,233.700,146.197,161.310,175.110,174.530,173.878,188.807,186.320
CN: GDP: Liaoning: Fushun,China,Fushun,"Annual, ending ""Dec"" of each year",RMB bn,Fushun Municipal Bureau of Statistics,Active,146385501 (CAAHDL),SR1926741,,,,1991,2022,07/02/2023,,,74.321,1330.165,36.471,-0.012,-1.272,0.491,20.579,134.045,83.744,24,20.579,23.221,25.792,28.018,31.484,37.500,39.024,45.782,54.724,66.244,69.864,89.516,111.337,123.637,134.045,127.658,121.648,86.507,94.990,104.880,84.710,82.779,87.007,92.770
CN: GDP: Liaoning: Benxi,China,Benxi,"Annual, ending ""Dec"" of each year",RMB bn,Benxi Municipal Bureau of Statistics,Active,146385601 (CAAHDM),SR1928482,,,,1991,2022,13/02/2023,,,66.870,1263.223,35.542,-0.134,-1.308,0.532,13.329,119.366,77.190,24,13.329,15.832,17.731,19.350,23.466,29.360,34.329,40.034,48.492,61.086,68.839,86.037,104.459,111.236,119.366,117.125,116.469,76.671,77.710,82.310,78.110,81.042,89.423,93.080
CN: GDP: Liaoning: Dandong,China,Dandong,"Annual, ending ""Dec"" of each year",RMB bn,Dandong Municipal Bureau of Statistics,Active,146385701 (CAAHDN),SR1927619,,,,1991,2022,15/02/2023,,,62.475,968.356,31.118,-0.217,-1.400,0.498,16.607,110.730,74.006,24,16.607,17.289,18.658,20.265,23.295,29.051,32.632,38.533,46.402,56.386,60.752,72.889,88.867,101.537,110.730,102.260,98.490,75.124,78.700,81.670,76.800,77.945,85.444,89.070
CN: GDP: Liaoning: Jinzhou,China,Jinzhou,"Annual, ending ""Dec"" of each year",RMB bn,Jinzhou Municipal Bureau of Statistics,Active,146385801 (CAAHDO),SR1928496,,,,1991,2022,13/02/2023,,,80.768,1807.028,42.509,-0.267,-1.598,0.526,18.673,136.400,97.272,24,18.673,19.585,21.647,24.287,28.170,34.312,38.194,46.025,55.109,69.044,72.730,91.263,111.693,124.271,134.493,136.400,132.733,103.281,107.750,119.240,107.300,107.220,114.834,120.170
CN: GDP: Liaoning: Yingkou,China,Yingkou,"Annual, ending ""Dec"" of each year",RMB bn,Yingkou Municipal Bureau of Statistics,Active,146385901 (CAAHDP),SR1927650,,,,1991,2022,13/02/2023,,,90.251,2719.417,52.148,-0.265,-1.697,0.578,15.452,154.608,107.935,24,15.452,17.083,19.234,21.763,25.338,31.833,37.959,45.724,57.011,70.357,79.948,100.245,122.465,138.118,151.311,154.608,151.375,115.625,127.050,134.670,132.820,132.546,140.324,143.160
CN: GDP: Liaoning: Fuxin,China,Fuxin,"Annual, ending ""Dec"" of each year",RMB bn,Fuxin Municipal Bureau of Statistics,Active,146386001 (CAAHDQ),SR1928893,,,,1991,2021,13/02/2023,,,32.600,388.844,19.719,-0.035,-1.644,0.605,6.446,61.512,37.887,23,6.446,6.505,7.033,8.521,10.303,12.713,14.259,15.864,19.351,23.391,28.797,37.887,48.026,55.996,61.512,60.616,52.554,40.782,40.910,44.600,48.810,50.458,54.469,
CN: GDP: Liaoning: Liaoyang,China,Liaoyang,"Annual, ending ""Dec"" of each year",RMB bn,Liaoyang Municipal Bureau of Statistics,Active,146386101 (CAAHDR),SR1928568,,,,1991,2021,13/02/2023,,,61.360,986.372,31.407,-0.148,-1.446,0.512,15.473,107.999,66.688,23,15.473,17.207,18.062,20.195,23.878,29.002,33.006,39.303,46.771,56.661,60.826,73.543,88.867,100.049,107.999,101.462,102.858,66.688,76.290,80.300,83.100,83.775,85.973,
CN: GDP: Liaoning: Panjin,China,Panjin,"Annual, ending ""Dec"" of each year",RMB bn,Panjin Municipal Bureau of Statistics,Active,146386201 (CAAHDS),SR1928683,,,,1991,2022,13/02/2023,,,85.860,1838.236,42.875,-0.173,-1.744,0.499,25.155,139.430,96.943,24,25.155,29.906,30.086,30.201,33.801,36.870,44.132,50.915,56.286,67.500,67.687,92.632,111.992,124.496,135.106,130.395,125.654,101.253,108.720,121.660,128.090,130.356,138.325,139.430
CN: GDP: Liaoning: Tieling,China,Tieling,"Annual, ending ""Dec"" of each year",RMB bn,Tieling Municipal Bureau of Statistics,Active,146386301 (CAAHDT),SR1928881,,,,1991,2022,13/02/2023,,,53.524,817.074,28.584,-0.104,-1.156,0.534,11.855,103.127,60.010,24,11.855,12.651,13.789,15.181,17.652,21.606,26.423,32.393,40.397,53.633,60.571,72.213,87.384,97.533,103.127,86.729,74.090,58.924,59.450,61.660,64.000,66.308,71.596,75.420
CN: GDP: Liaoning: Chaoyang,China,Chaoyang,"Annual, ending ""Dec"" of each year",RMB bn,Chaoyang Municipal Bureau of Statistics,Active,146386401 (CAAHDU),SR1928471,,,,1991,2022,13/02/2023,,,56.715,1238.980,35.199,-0.247,-1.687,0.621,8.202,100.286,68.647,24,8.608,8.202,9.284,10.262,11.982,15.278,21.214,25.402,33.423,44.661,51.809,65.641,81.302,92.063,100.286,99.352,85.473,71.653,76.270,83.140,84.310,87.559,94.478,99.500
CN: GDP: Liaoning: Huludao,China,Huludao,"Annual, ending ""Dec"" of each year",RMB bn,Huludao Municipal Bureau of Statistics,Active,146386501 (CAAHDV),SR1928669,,,,1994,2022,16/02/2023,,,52.492,588.409,24.257,-0.203,-1.461,0.462,15.172,87.060,56.596,24,15.172,16.034,18.405,20.608,24.003,29.336,29.952,34.811,41.753,45.782,44.558,53.145,60.047,65.452,69.811,72.155,72.017,64.735,71.790,81.280,80.710,77.035,84.166,87.060
CN: GDP: Jilin: Changchun,China,Changchun,"Annual, ending ""Dec"" of each year",RMB bn,Changchun Municipal Bureau of Statistics,Active,146386601 (CAAHDW),SR1928674,,,,1991,2022,16/02/2023,,,338.931,47936.953,218.945,0.231,-1.441,0.646,70.705,710.312,323.775,24,70.705,80.320,82.010,90.290,96.560,111.860,122.980,144.320,183.220,216.230,244.440,293.140,354.410,402.470,438.770,475.930,477.380,503.590,543.230,563.510,590.414,663.803,710.312,674.456
CN: GDP: Jilin: Jilin,China,Jilin,"Annual, ending ""Dec"" of each year",RMB bn,Jilin Municipal Bureau of Statistics,Active,146386701 (CAAHDX),SR1928469,,,,1991,2021,20/04/2022,,,144.815,6285.313,79.280,0.027,-1.584,0.547,35.209,261.741,145.260,23,35.209,40.118,44.644,51.508,60.010,70.370,62.969,72.883,100.801,130.009,150.048,180.064,220.805,243.007,261.741,237.956,239.419,245.351,220.885,221.024,141.656,145.260,154.998,
CN: GDP: Jilin: Siping,China,Siping,"Annual, ending ""Dec"" of each year",RMB bn,Siping Municipal Bureau of Statistics,Active,146386801 (CAAHDY),SR1927312,,,,1991,2021,20/04/2022,,,65.545,1445.373,38.018,0.166,-1.447,0.580,15.658,123.325,59.655,23,16.440,15.658,17.943,19.999,23.131,27.941,33.071,38.017,47.525,59.655,65.859,77.955,98.460,112.280,113.770,121.032,123.325,119.380,93.983,94.432,79.617,52.660,55.402,
CN: GDP: Jilin: Liaoyuan,China,Liaoyuan,"Annual, ending ""Dec"" of each year",RMB bn,Liaoyuan Municipal Bureau of Statistics,Active,146386901 (CAAHDZ),SR1928758,,,,1991,2021,10/02/2022,,,37.253,632.108,25.142,0.133,-1.517,0.675,6.106,76.525,41.014,23,6.106,6.711,6.370,6.971,8.161,10.006,13.708,17.161,21.650,27.119,33.618,41.014,50.049,60.513,70.030,69.031,72.664,76.525,66.865,62.160,41.038,42.990,46.349,
CN: GDP: Jilin: Tonghua,China,Tonghua,"Annual, ending ""Dec"" of each year",RMB bn,Tonghua Municipal Bureau of Statistics,Active,146387001 (CAAHEA),SR1928456,,,,1991,2021,20/04/2022,,,54.749,1015.191,31.862,0.099,-1.548,0.582,13.040,100.850,53.170,23,13.040,14.227,15.805,17.413,19.237,21.780,23.363,28.474,35.363,44.733,51.800,62.708,78.023,88.112,100.345,100.850,100.121,94.759,83.613,82.930,72.576,53.170,56.790,
CN: GDP: Jilin: Baishan,China,Baishan,"Annual, ending ""Dec"" of each year",RMB bn,Baishan Municipal Bureau of Statistics,Active,146387101 (CAAHEB),SR1928839,,,,1994,2021,18/03/2022,,,39.206,575.784,23.995,-0.091,-1.738,0.612,7.845,69.662,43.317,23,7.845,8.501,9.361,10.032,10.986,9.923,16.048,19.190,23.745,30.035,35.663,43.317,53.143,64.302,67.364,67.529,66.855,69.662,66.006,66.171,50.966,50.942,54.141,
CN: GDP: Jilin: Songyuan,China,Songyuan,"Annual, ending ""Dec"" of each year",RMB bn,Songyuan Municipal Bureau of Statistics,Active,146387201 (CAAHEC),SR1926740,,,,1994,2021,20/04/2022,,,86.934,3146.063,56.090,0.149,-1.524,0.645,14.820,165.169,80.672,23,14.820,15.578,17.801,19.525,22.713,28.472,36.555,47.368,60.735,80.672,90.083,110.285,136.097,160.542,165.048,159.629,163.730,165.169,137.251,137.360,72.978,75.288,81.771,
