Province,Province_ch,Region,Region_ch,District/County,District/County_ch,Longitude,Latitude,Post Code
Tianjin,天津市,Tianjin,天津市,Jinnan District,津南区,117.38,38.98,300350
Tianjin,天津市,Tianjin,天津市,Beichen District,北辰区,117.13,39.22,300400
Tianjin,天津市,Tianjin,天津市,Wuqing District,武清区,117.03,39.38,301700
Tianjin,天津市,Tianjin,天津市,Baoyu District,宝坻区,117.3,39.72,301800
Tianjin,天津市,Tianjin,天津市,Binhai New Area,滨海新区,117.68,39.03,300450
Tianjin,天津市,Tianjin,天津市,Ninghe County,宁河县,117.82,39.33,301500
Tianjin,天津市,Tianjin,天津市,Jinghai County,静海县,116.92,38.93,301600
Tianjin,天津市,Tianjin,天津市,Jixian County,蓟县,117.4,40.05,301900
Hebei Province,河北省,Shijiazhuang City,石家庄市,Shijiazhuang City,石家庄市,114.52,38.05,50000
Hebei Province,河北省,Shijiazhuang City,石家庄市,Chang'an District,长安区,114.52,38.05,50000
Hebei Province,河北省,Shijiazhuang City,石家庄市,Bridge East District,桥东区,114.5,38.05,50000
Hebei Province,河北省,Shijiazhuang City,石家庄市,Bridge East District,桥东区,114.9,40.78,50000
Hebei Province,河北省,Shijiazhuang City,石家庄市,Bridge East District,桥东区,114.5,37.07,50000
Hebei Province,河北省,Shijiazhuang City,石家庄市,Qiaoxi District,桥西区,114.47,37.05,50051
Hebei Province,河北省,Shijiazhuang City,石家庄市,Qiaoxi District,桥西区,114.87,40.83,50051
Hebei Province,河北省,Shijiazhuang City,石家庄市,Qiaoxi District,桥西区,114.47,38.03,50051
Hebei Province,河北省,Shijiazhuang City,石家庄市,Xinhua District,新华区,114.47,38.05,453000
Hebei Province,河北省,Shijiazhuang City,石家庄市,Xinhua District,新华区,116.87,38.32,453000
Hebei Province,河北省,Shijiazhuang City,石家庄市,Jingyu Mining Area,井陉矿区,114.05,38.08,50100
Hebei Province,河北省,Shijiazhuang City,石家庄市,Yuhua District,裕华区,114.52,38.02,50011
Hebei Province,河北省,Shijiazhuang City,石家庄市,Jingyi County,井陉县,114.13,38.03,50300
Hebei Province,河北省,Shijiazhuang City,石家庄市,Zhengding County,正定县,114.57,38.15,50800
Hebei Province,河北省,Shijiazhuang City,石家庄市,Luancheng County,栾城县,114.65,37.88,51430
Hebei Province,河北省,Shijiazhuang City,石家庄市,Xingtang County,行唐县,114.55,38.43,50600
Hebei Province,河北省,Shijiazhuang City,石家庄市,Lingshou County,灵寿县,114.37,38.3,50500
Hebei Province,河北省,Shijiazhuang City,石家庄市,Gaoyi County,高邑县,114.6,37.6,51330
Hebei Province,河北省,Shijiazhuang City,石家庄市,Shenze County,深泽县,115.2,38.18,52560
Hebei Province,河北省,Shijiazhuang City,石家庄市,Zanhuang County,赞皇县,114.38,37.67,51230
Hebei Province,河北省,Shijiazhuang City,石家庄市,Wuji County,无极县,114.97,38.18,52460
Hebei Province,河北省,Shijiazhuang City,石家庄市,Pingshan County,平山县,114.2,38.25,50400
Hebei Province,河北省,Shijiazhuang City,石家庄市,Yuanshi County,元氏县,114.52,37.75,51130
Hebei Province,河北省,Shijiazhuang City,石家庄市,Zhao County,赵县,114.77,37.75,51530
Hebei Province,河北省,Shijiazhuang City,石家庄市,Xinji Market,辛集市,115.22,37.92,52360
Hebei Province,河北省,Shijiazhuang City,石家庄市,Cities,藁城市,114.83,38.03,52160
Hebei Province,河北省,Shijiazhuang City,石家庄市,Jinzhou,晋州市,115.03,38.03,52260
Hebei Province,河北省,Shijiazhuang City,石家庄市,Xinle City,新乐市,114.68,38.35,50700
Hebei Province,河北省,Shijiazhuang City,石家庄市,Luquan City,鹿泉市,114.3,38.08,50200
Hebei Province,河北省,Tangshan City,唐山市,Tangshan City,唐山市,118.2,39.63,63000
Hebei Province,河北省,Tangshan City,唐山市,Lunan District,路南区,118.17,39.63,63017
Hebei Province,河北省,Tangshan City,唐山市,Lubei District,路北区,118.22,39.63,63000
Hebei Province,河北省,Tangshan City,唐山市,Guye District,古冶区,118.42,39.73,63100
Hebei Province,河北省,Tangshan City,唐山市,Kaiping District,开平区,118.27,39.68,63021
Hebei Province,河北省,Tangshan City,唐山市,Fengnan District,丰南区,118.1,39.57,63300
Hebei Province,河北省,Tangshan City,唐山市,Fengrun District,丰润区,118.17,39.83,64000
Hebei Province,河北省,Tangshan City,唐山市,Qixian County,滦县,118.7,39.75,63700
Hebei Province,河北省,Tangshan City,唐山市,Dannan County,滦南县,118.68,39.5,63500
Hebei Province,河北省,Tangshan City,唐山市,Ledting County,乐亭县,118.9,39.42,63600
Hebei Province,河北省,Tangshan City,唐山市,Qianxi County,迁西县,118.32,40.15,64300
Hebei Province,河北省,Tangshan City,唐山市,Yutian County,玉田县,117.73,39.88,64100
Hebei Province,河北省,Tangshan City,唐山市,Tanghai County,唐海县,118.45,39.27,63200
Hebei Province,河北省,Tangshan City,唐山市,Zunhua City,遵化市,117.95,40.18,64200
Hebei Province,河北省,Tangshan City,唐山市,Qian'an City,迁安市,118.7,40.02,64400
Hebei Province,河北省,Qinhuangdao City,秦皇岛市,Qinhuangdao City,秦皇岛市,119.6,39.93,66000
Hebei Province,河北省,Qinhuangdao City,秦皇岛市,Haigang District,海港区,119.6,39.93,66000
Hebei Province,河北省,Qinhuangdao City,秦皇岛市,Shanhaiguan District,山海关区,119.77,40,66200
Hebei Province,河北省,Qinhuangdao City,秦皇岛市,Beidaihe District,北戴河区,119.48,39.83,66100
Hebei Province,河北省,Qinhuangdao City,秦皇岛市,Qinglong Manchu Autonomous County,青龙满族自治县,118.95,40.4,66500
Hebei Province,河北省,Qinhuangdao City,秦皇岛市,Changli County,昌黎县,119.17,39.7,66600
Hebei Province,河北省,Qinhuangdao City,秦皇岛市,Funing County,抚宁县,119.23,39.88,66300
Hebei Province,河北省,Qinhuangdao City,秦皇岛市,Lu Long County,卢龙县,118.87,39.88,66400
Hebei Province,河北省,Handan,邯郸市,Handan,邯郸市,114.48,36.62,56000
Hebei Province,河北省,Handan,邯郸市,Hangshan District,邯山区,114.48,36.6,56001
Hebei Province,河北省,Handan,邯郸市,Cluster area,丛台区,114.48,36.63,56004
Hebei Province,河北省,Handan,邯郸市,Revival area,复兴区,114.45,36.63,56002
Hebei Province,河北省,Handan,邯郸市,Fengfeng Mining Area,峰峰矿区,114.2,36.42,56200
Hebei Province,河北省,Handan,邯郸市,Handan County,邯郸县,114.53,36.6,56100
Hebei Province,河北省,Handan,邯郸市,Linzhang County,临漳县,114.62,36.35,56600
Hebei Province,河北省,Handan,邯郸市,Cheng'an County,成安县,114.68,36.43,56700
Hebei Province,河北省,Handan,邯郸市,Daming County,大名县,115.15,36.28,56900
Hebei Province,河北省,Handan,邯郸市,County,涉县,113.67,36.57,56400
Hebei Province,河北省,Handan,邯郸市,Magnetic county,磁县,114.37,36.35,56500
Hebei Province,河北省,Handan,邯郸市,Feixiang County,肥乡县,114.8,36.55,57550
Hebei Province,河北省,Handan,邯郸市,Yongnian County,永年县,114.48,36.78,57150
Hebei Province,河北省,Handan,邯郸市,Qiu County,邱县,115.17,36.82,57450
Hebei Province,河北省,Handan,邯郸市,Jize County,鸡泽县,114.87,36.92,57350
Hebei Province,河北省,Handan,邯郸市,Guangping County,广平县,114.93,36.48,57650
Hebei Province,河北省,Handan,邯郸市,Museumi County,馆陶县,115.3,36.53,57750
Hebei Province,河北省,Handan,邯郸市,Wei County,魏县,114.93,36.37,56800
Hebei Province,河北省,Handan,邯郸市,Qu Zhou County,曲周县,114.95,36.78,57250
Hebei Province,河北省,Handan,邯郸市,Wu'an City,武安市,114.2,36.7,56300
Hebei Province,河北省,Xingtai city,邢台市,Xingtai city,邢台市,114.48,37.07,54000
Hebei Province,河北省,Xingtai city,邢台市,Bridge East District,桥东区,114.5,38.05,54000
Hebei Province,河北省,Xingtai city,邢台市,Bridge East District,桥东区,114.9,40.78,54000
Hebei Province,河北省,Xingtai city,邢台市,Bridge East District,桥东区,114.5,37.07,54000
Hebei Province,河北省,Xingtai city,邢台市,Qiaoxi District,桥西区,114.87,40.83,54000
Hebei Province,河北省,Xingtai city,邢台市,Qiaoxi District,桥西区,114.47,38.03,54000
Hebei Province,河北省,Xingtai city,邢台市,Qiaoxi District,桥西区,114.47,37.05,54000
Hebei Province,河北省,Xingtai city,邢台市,Xingtai County,邢台县,114.5,37.08,54000
Hebei Province,河北省,Xingtai city,邢台市,Lincheng County,临城县,114.5,37.43,54300
Hebei Province,河北省,Xingtai city,邢台市,Neiqiu County,内丘县,114.52,37.3,54200
Hebei Province,河北省,Xingtai city,邢台市,Baixiang County,柏乡县,114.68,37.5,55450
Hebei Province,河北省,Xingtai city,邢台市,Longyao County,隆尧县,114.77,37.35,55350
Hebei Province,河北省,Xingtai city,邢台市,County,任县,114.68,37.13,55151
Hebei Province,河北省,Xingtai city,邢台市,Nanhe County,南和县,114.68,37,54400
Hebei Province,河北省,Xingtai city,邢台市,Ningjin County,宁晋县,114.92,37.62,55550
Hebei Province,河北省,Xingtai city,邢台市,Junlu County,巨鹿县,115.03,37.22,55250
Hebei Province,河北省,Xingtai city,邢台市,Xinhe County,新河县,115.25,37.53,55650
Hebei Province,河北省,Xingtai city,邢台市,Guangzong County,广宗县,115.15,37.07,54600
Hebei Province,河北省,Xingtai city,邢台市,Pingxiang County,平乡县,115.03,37.07,54500
Hebei Province,河北省,Xingtai city,邢台市,Wei County,威县,115.25,36.98,54700
Hebei Province,河北省,Xingtai city,邢台市,Qinghe County,清河县,115.67,37.07,54800
Hebei Province,河北省,Xingtai city,邢台市,Linxi County,临西县,115.5,36.85,54900
Hebei Province,河北省,Xingtai city,邢台市,Nangong,南宫市,115.38,37.35,55750
Hebei Province,河北省,Xingtai city,邢台市,Shahe City,沙河市,114.5,36.85,54100
Hebei Province,河北省,Baoding City,保定市,Baoding City,保定市,115.47,38.87,71000
Hebei Province,河北省,Baoding City,保定市,New urban area,新市区,115.45,38.87,71000
Hebei Province,河北省,Baoding City,保定市,North City,北市区,115.48,38.87,71000
Hebei Province,河北省,Baoding City,保定市,Nanshi District,南市区,115.5,38.85,71000
Hebei Province,河北省,Baoding City,保定市,Mancheng County,满城县,115.32,38.95,72150
Hebei Province,河北省,Baoding City,保定市,Qingyuan County,清苑县,115.48,38.77,71100
Hebei Province,河北省,Baoding City,保定市,Lishui County,涞水县,115.72,39.4,74100
Hebei Province,河北省,Baoding City,保定市,Fuping County,阜平县,114.18,38.85,73200
Hebei Province,河北省,Baoding City,保定市,Xushui County,徐水县,115.65,39.02,72550
Hebei Province,河北省,Baoding City,保定市,Dingxing County,定兴县,115.77,39.27,72650
Hebei Province,河北省,Baoding City,保定市,Tangxian,唐县,114.98,38.75,72350
Hebei Province,河北省,Baoding City,保定市,Gaoyang County,高阳县,115.78,38.68,71500
Hebei Province,河北省,Baoding City,保定市,Rongcheng County,容城县,115.87,39.05,71700
Hebei Province,河北省,Baoding City,保定市,Yiyuan County,涞源县,114.68,39.35,74300
Hebei Province,河北省,Baoding City,保定市,Wangdu County,望都县,115.15,38.72,72450
Hebei Province,河北省,Baoding City,保定市,Anxin County,安新县,115.93,38.92,71600
Hebei Province,河北省,Baoding City,保定市,Yixian,易县,115.5,39.35,74200
Hebei Province,河北省,Baoding City,保定市,Quyang County,曲阳县,114.7,38.62,73100
Hebei Province,河北省,Baoding City,保定市,Li County,蠡县,115.57,38.48,71400
Hebei Province,河北省,Baoding City,保定市,Shunping County,顺平县,115.13,38.83,72250
Hebei Province,河北省,Baoding City,保定市,Bono County,博野县,115.47,38.45,71300
Hebei Province,河北省,Baoding City,保定市,County,雄县,116.1,38.98,71800
Hebei Province,河北省,Baoding City,保定市,Dazhou City,涿州市,115.97,39.48,72750
Hebei Province,河北省,Baoding City,保定市,Dingzhou,定州市,114.97,38.52,73000
Hebei Province,河北省,Baoding City,保定市,Anguo,安国市,115.32,38.42,71200
Hebei Province,河北省,Baoding City,保定市,Gaobeidian City,高碑店市,115.85,39.33,74000
Hebei Province,河北省,Zhangjiakou City,张家口市,Zhangjiakou City,张家口市,114.88,40.82,75000
Hebei Province,河北省,Zhangjiakou City,张家口市,Bridge East District,桥东区,114.5,38.05,75000
Hebei Province,河北省,Zhangjiakou City,张家口市,Bridge East District,桥东区,114.9,40.78,75000
Hebei Province,河北省,Zhangjiakou City,张家口市,Bridge East District,桥东区,114.5,37.07,75000
Hebei Province,河北省,Zhangjiakou City,张家口市,Qiaoxi District,桥西区,114.87,40.83,75061
Hebei Province,河北省,Zhangjiakou City,张家口市,Qiaoxi District,桥西区,114.47,38.03,75061
Hebei Province,河北省,Zhangjiakou City,张家口市,Qiaoxi District,桥西区,114.47,37.05,75061
Hebei Province,河北省,Zhangjiakou City,张家口市,Xuanhua District,宣化区,115.05,40.6,75100
Hebei Province,河北省,Zhangjiakou City,张家口市,Xiahua Park,下花园区,115.27,40.48,75300
Hebei Province,河北省,Zhangjiakou City,张家口市,Xuanhua County,宣化县,115.02,40.55,75100
Hebei Province,河北省,Zhangjiakou City,张家口市,Zhangbei County,张北县,114.7,41.15,76450
Hebei Province,河北省,Zhangjiakou City,张家口市,Kangbao County,康保县,114.62,41.85,76650
Hebei Province,河北省,Zhangjiakou City,张家口市,Guyuan County,沽源县,115.7,41.67,76550
Hebei Province,河北省,Zhangjiakou City,张家口市,Shangyi County,尚义县,113.97,41.08,76750
Hebei Province,河北省,Zhangjiakou City,张家口市,Wei County,蔚县,114.57,39.85,75700
Hebei Province,河北省,Zhangjiakou City,张家口市,Yangyuan County,阳原县,114.17,40.12,75800
Hebei Province,河北省,Zhangjiakou City,张家口市,Huai'an County,怀安县,114.42,40.67,76150
Hebei Province,河北省,Zhangjiakou City,张家口市,All county,万全县,114.72,40.75,76250
Hebei Province,河北省,Zhangjiakou City,张家口市,Huailai County,怀来县,115.52,40.4,75400
Hebei Province,河北省,Zhangjiakou City,张家口市,Lugu County,涿鹿县,115.22,40.38,75600
Hebei Province,河北省,Zhangjiakou City,张家口市,Chicheng County,赤城县,115.83,40.92,75500
Hebei Province,河北省,Zhangjiakou City,张家口市,Chongli County,崇礼县,115.27,40.97,76350
Hebei Province,河北省,Chengde City,承德市,Chengde City,承德市,117.93,40.97,67000
Hebei Province,河北省,Chengde City,承德市,Shuangqiao District,双桥区,117.93,40.97,67000
Hebei Province,河北省,Chengde City,承德市,Shuanglu District,双滦区,117.78,40.95,67000
Hebei Province,河北省,Chengde City,承德市,Eagle Small Camp Zone Mining Area,鹰手营子矿区,117.65,40.55,67200
Hebei Province,河北省,Chengde City,承德市,Chengde County,承德县,118.17,40.77,67400
Hebei Province,河北省,Chengde City,承德市,Xinglong County,兴隆县,117.52,40.43,67300
Hebei Province,河北省,Chengde City,承德市,Pingquan County,平泉县,118.68,41,67500
Hebei Province,河北省,Chengde City,承德市,Pingping County,滦平县,117.33,40.93,68250
Hebei Province,河北省,Chengde City,承德市,Longhua County,隆化县,117.72,41.32,68150
Hebei Province,河北省,Chengde City,承德市,Fengning Manchu Autonomous County,丰宁满族自治县,116.65,41.2,68350
Hebei Province,河北省,Chengde City,承德市,Kuancheng Manchu Autonomous County,宽城满族自治县,118.48,40.6,67600
Hebei Province,河北省,Chengde City,承德市,Piece Manchu Mongolian Autonomous County,围场满族蒙古族自治县,117.75,41.93,68450
Hebei Province,河北省,Cangzhou,沧州市,Cangzhou,沧州市,116.83,38.3,61000
Hebei Province,河北省,Cangzhou,沧州市,Xinhua District,新华区,114.47,38.05,61000
Hebei Province,河北省,Cangzhou,沧州市,Xinhua District,新华区,116.87,38.32,61000
Hebei Province,河北省,Cangzhou,沧州市,Canal district,运河区,116.85,38.32,61000
Hebei Province,河北省,Cangzhou,沧州市,Cangxian,沧县,116.87,38.3,61000
Hebei Province,河北省,Cangzhou,沧州市,Qing County,青县,116.82,38.58,62650
Hebei Province,河北省,Cangzhou,沧州市,Dongguang County,东光县,116.53,37.88,61600
Hebei Province,河北省,Cangzhou,沧州市,Haixing County,海兴县,117.48,38.13,61200
Hebei Province,河北省,Cangzhou,沧州市,Yanyan County,盐山县,117.22,38.05,61300
Hebei Province,河北省,Cangzhou,沧州市,Suning County,肃宁县,115.83,38.43,62350
Hebei Province,河北省,Cangzhou,沧州市,Nanpi County,南皮县,116.7,38.03,61500
Hebei Province,河北省,Cangzhou,沧州市,Wuqiao County,吴桥县,116.38,37.62,61800
Hebei Province,河北省,Cangzhou,沧州市,Xianxian County,献县,116.12,38.18,62250
Hebei Province,河北省,Cangzhou,沧州市,Mengcun Hui Autonomous County,孟村回族自治县,117.1,38.07,61400
Hebei Province,河北省,Cangzhou,沧州市,Botou City,泊头市,116.57,38.07,62150
Hebei Province,河北省,Cangzhou,沧州市,Renqiu City,任丘市,116.1,38.72,62550
Hebei Province,河北省,Cangzhou,沧州市,Huanghua City,黄骅市,117.35,38.37,61100
Hebei Province,河北省,Cangzhou,沧州市,Hejian City,河间市,116.08,38.43,62450
Hebei Province,河北省,Langfang City,廊坊市,Langfang City,廊坊市,116.7,39.52,65000
Hebei Province,河北省,Langfang City,廊坊市,Sub -zone,安次区,116.68,39.52,65000
Hebei Province,河北省,Langfang City,廊坊市,Guangyang District,广阳区,116.72,39.53,65000
Hebei Province,河北省,Langfang City,廊坊市,Gu'an County,固安县,116.3,39.43,65500
Hebei Province,河北省,Langfang City,廊坊市,Yongqing County,永清县,116.5,39.32,65600
Hebei Province,河北省,Langfang City,廊坊市,Xianghe County,香河县,117,39.77,65400
Hebei Province,河北省,Langfang City,廊坊市,Dacheng County,大城县,116.63,38.7,65900
Hebei Province,河北省,Langfang City,廊坊市,Wen'an County,文安县,116.47,38.87,65800
Hebei Province,河北省,Langfang City,廊坊市,Big Factory Hui Autonomous County,大厂回族自治县,116.98,39.88,65300
Hebei Province,河北省,Langfang City,廊坊市,Bazhou,霸州市,116.4,39.1,65700
Hebei Province,河北省,Langfang City,廊坊市,Sanhe City,三河市,117.07,39.98,65200
Hebei Province,河北省,Hengshui City,衡水市,Hengshui City,衡水市,115.68,37.73,53000
Hebei Province,河北省,Hengshui City,衡水市,Taocheng District,桃城区,115.68,37.73,53000
Hebei Province,河北省,Hengshui City,衡水市,Zaoqiang County,枣强县,115.72,37.52,53100
Hebei Province,河北省,Hengshui City,衡水市,Wuyi County,武邑县,115.88,37.82,53400
Hebei Province,河北省,Hengshui City,衡水市,Wuqiang County,武强县,115.98,38.03,53300
Hebei Province,河北省,Hengshui City,衡水市,Raoyang County,饶阳县,115.73,38.23,53900
Hebei Province,河北省,Hengshui City,衡水市,Anping County,安平县,115.52,38.23,53600
Hebei Province,河北省,Hengshui City,衡水市,Hometown county,故城县,115.97,37.35,253800
Hebei Province,河北省,Hengshui City,衡水市,Jingxian,景县,116.27,37.7,53500
Hebei Province,河北省,Hengshui City,衡水市,Fucheng County,阜城县,116.15,37.87,53700
Hebei Province,河北省,Hengshui City,衡水市,Jizhou,冀州市,115.57,37.57,53200
Hebei Province,河北省,Hengshui City,衡水市,Shenzhou,深州市,115.55,38.02,53800
Shanxi Province,山西省,Taiyuan City,太原市,Taiyuan City,太原市,112.55,37.87,30000
Shanxi Province,山西省,Taiyuan City,太原市,Shop area,小店区,112.57,37.73,30000
Shanxi Province,山西省,Taiyuan City,太原市,Yingze District,迎泽区,112.57,37.87,30000
Shanxi Province,山西省,Taiyuan City,太原市,Xinghua Ling District,杏花岭区,112.57,37.88,30000
Shanxi Province,山西省,Taiyuan City,太原市,Diancaya District,尖草坪区,112.48,37.93,30000
Shanxi Province,山西省,Taiyuan City,太原市,Berlin District,万柏林区,112.52,37.87,30000
Shanxi Province,山西省,Taiyuan City,太原市,Jinyuan District,晋源区,112.48,37.73,30000
Shanxi Province,山西省,Taiyuan City,太原市,Qingxu County,清徐县,112.35,37.6,30400
Shanxi Province,山西省,Taiyuan City,太原市,Yangqu County,阳曲县,112.67,38.07,30100
Shanxi Province,山西省,Taiyuan City,太原市,Louzhi County,娄烦县,111.78,38.07,30300
Shanxi Province,山西省,Taiyuan City,太原市,Ancient market,古交市,112.17,37.92,30200
Shanxi Province,山西省,Datong City,大同市,Datong City,大同市,113.3,40.08,37000
Shanxi Province,山西省,Datong City,大同市,Urban area,城区,113.28,40.08,37006
Shanxi Province,山西省,Datong City,大同市,Urban area,城区,113.6,37.85,37006
Shanxi Province,山西省,Datong City,大同市,Urban area,城区,113.12,36.22,37006
Shanxi Province,山西省,Datong City,大同市,Urban area,城区,112.83,35.5,37006
Shanxi Province,山西省,Datong City,大同市,Mining area,矿区,113.17,40.03,37001
Shanxi Province,山西省,Datong City,大同市,Mining area,矿区,113.57,37.87,37001
Shanxi Province,山西省,Datong City,大同市,Southern suburbs,南郊区,113.13,40,37000
Shanxi Province,山西省,Datong City,大同市,Xinrong District,新荣区,113.15,40.27,37002
Shanxi Province,山西省,Datong City,大同市,Yanggao County,阳高县,113.75,40.37,38100
Shanxi Province,山西省,Datong City,大同市,Tianzhen County,天镇县,114.08,40.42,38200
Shanxi Province,山西省,Datong City,大同市,Guangling County,广灵县,114.28,39.77,37500
Shanxi Province,山西省,Datong City,大同市,Lingqiu County,灵丘县,114.23,39.43,34400
Shanxi Province,山西省,Datong City,大同市,Hunyuan County,浑源县,113.68,39.7,37400
Shanxi Province,山西省,Datong City,大同市,Zuo Yun County,左云县,112.7,40,37100
Shanxi Province,山西省,Datong City,大同市,Datong County,大同县,113.6,40.03,37300
Shanxi Province,山西省,Yangquan City,阳泉市,Yangquan City,阳泉市,113.57,37.85,45000
Shanxi Province,山西省,Yangquan City,阳泉市,Urban area,城区,113.28,40.08,45000
Shanxi Province,山西省,Yangquan City,阳泉市,Urban area,城区,113.6,37.85,45000
Shanxi Province,山西省,Yangquan City,阳泉市,Urban area,城区,113.12,36.22,45000
Shanxi Province,山西省,Yangquan City,阳泉市,Urban area,城区,112.83,35.5,45000
Shanxi Province,山西省,Yangquan City,阳泉市,Mining area,矿区,113.17,40.03,45000
Shanxi Province,山西省,Yangquan City,阳泉市,Mining area,矿区,113.57,37.87,45000
Shanxi Province,山西省,Yangquan City,阳泉市,suburbs,郊区,113.58,37.93,45000
Shanxi Province,山西省,Yangquan City,阳泉市,suburbs,郊区,113.12,36.2,45000
Shanxi Province,山西省,Yangquan City,阳泉市,Pingding County,平定县,113.62,37.8,45200
Shanxi Province,山西省,Yangquan City,阳泉市,Yaoxian,盂县,113.4,38.08,45100
Shanxi Province,山西省,Changzhi City,长治市,Changzhi City,长治市,113.12,36.2,46000
Shanxi Province,山西省,Changzhi City,长治市,Urban area,城区,113.28,40.08,46000
Shanxi Province,山西省,Changzhi City,长治市,Urban area,城区,113.6,37.85,46000
Shanxi Province,山西省,Changzhi City,长治市,Urban area,城区,113.12,36.22,46000
Shanxi Province,山西省,Changzhi City,长治市,Urban area,城区,112.83,35.5,46000
Shanxi Province,山西省,Changzhi City,长治市,suburbs,郊区,113.58,37.93,46000
Shanxi Province,山西省,Changzhi City,长治市,suburbs,郊区,113.12,36.2,46000
Shanxi Province,山西省,Changzhi City,长治市,Changzhi County,长治县,113.03,36.05,47100
Shanxi Province,山西省,Changzhi City,长治市,Xiangyuan County,襄垣县,113.05,36.53,46200
Shanxi Province,山西省,Changzhi City,长治市,Tunliu County,屯留县,112.88,36.32,46100
Shanxi Province,山西省,Changzhi City,长治市,Pingshun County,平顺县,113.43,36.2,47400
Shanxi Province,山西省,Changzhi City,长治市,Licheng County,黎城县,113.38,36.5,47600
Shanxi Province,山西省,Changzhi City,长治市,Huguan County,壶关县,113.2,36.12,47300
Shanxi Province,山西省,Changzhi City,长治市,Eldest son,长子县,112.87,36.12,46600
Shanxi Province,山西省,Changzhi City,长治市,Wuxiang County,武乡县,112.85,36.83,46300
Shanxi Province,山西省,Changzhi City,长治市,Qin County,沁县,112.7,36.75,46400
Shanxi Province,山西省,Changzhi City,长治市,Qinyuan County,沁源县,112.33,36.5,46500
Shanxi Province,山西省,Changzhi City,长治市,Cities,潞城市,113.22,36.33,47500
Shanxi Province,山西省,Jincheng,晋城市,Jincheng,晋城市,112.83,35.5,48000
Shanxi Province,山西省,Jincheng,晋城市,Urban area,城区,113.28,40.08,48000
Shanxi Province,山西省,Jincheng,晋城市,Urban area,城区,113.6,37.85,48000
Shanxi Province,山西省,Jincheng,晋城市,Urban area,城区,113.12,36.22,48000
Shanxi Province,山西省,Jincheng,晋城市,Urban area,城区,112.83,35.5,48000
Shanxi Province,山西省,Jincheng,晋城市,Qinshui County,沁水县,112.18,35.68,48200
Shanxi Province,山西省,Jincheng,晋城市,Yangcheng County,阳城县,112.42,35.48,48100
Shanxi Province,山西省,Jincheng,晋城市,Lingchuan County,陵川县,113.27,35.78,48300
Shanxi Province,山西省,Jincheng,晋城市,Zezhou County,泽州县,112.83,35.5,48012
Shanxi Province,山西省,Jincheng,晋城市,Gaoping City,高平市,112.92,35.8,48400
Shanxi Province,山西省,Shuozhou,朔州市,Shuozhou,朔州市,112.43,39.33,36000
Shanxi Province,山西省,Shuozhou,朔州市,Shuocheng District,朔城区,112.43,39.33,36002
Shanxi Province,山西省,Shuozhou,朔州市,Shanyin County,山阴县,112.82,39.52,36900
