Province,Region,Longitude,Latitude,Post Code
Hebei,Wuji,114.97,38.18,52460
Hebei,Pingshan,114.2,38.25,50400
Hebei,Yuanshi,114.52,37.75,51130
Hebei,Zhao,114.77,37.75,51530
Hebei,Xinji Market,115.22,37.92,52360
Hebei,Cities,114.83,38.03,52160
Hebei,Jinzhou,115.03,38.03,52260
Hebei,Xinle,114.68,38.35,50700
Hebei,Luquan,114.3,38.08,50200
Hebei,Tangshan,118.2,39.63,63000
Hebei,Lunan,118.17,39.63,63017
Hebei,Lubei,118.22,39.63,63000
Hebei,Guye,118.42,39.73,63100
Hebei,Kaiping,118.27,39.68,63021
Hebei,Fengnan,118.1,39.57,63300
Hebei,Fengrun,118.17,39.83,64000
Hebei,Qixian,118.7,39.75,63700
Hebei,Dannan,118.68,39.5,63500
Hebei,Ledting,118.9,39.42,63600
Hebei,Qianxi,118.32,40.15,64300
Hebei,Yutian,117.73,39.88,64100
Hebei,Tanghai,118.45,39.27,63200
Hebei,Zunhua,117.95,40.18,64200
Hebei,Qian'an,118.7,40.02,64400
Hebei,Qinhuangdao,119.6,39.93,66000
Hebei,Haigang,119.6,39.93,66000
Hebei,Shanhaiguan,119.77,40,66200
Hebei,Beidaihe,119.48,39.83,66100
Hebei,Qinglong Manchu,118.95,40.4,66500
Hebei,Changli,119.17,39.7,66600
Hebei,Funing,119.23,39.88,66300
Hebei,Lu Long,118.87,39.88,66400
Hebei,Handan,114.48,36.62,56000
Hebei,Hangshan,114.48,36.6,56001
Hebei,Cluster,114.48,36.63,56004
Hebei,Revival,114.45,36.63,56002
Hebei,Fengfeng Mining,114.2,36.42,56200
Hebei,Handan,114.53,36.6,56100
Hebei,Linzhang,114.62,36.35,56600
Hebei,Cheng'an,114.68,36.43,56700
Hebei,Daming,115.15,36.28,56900
Hebei,County,113.67,36.57,56400
Hebei,Magnetic,114.37,36.35,56500
Hebei,Feixiang,114.8,36.55,57550
Hebei,Yongnian,114.48,36.78,57150
Hebei,Qiu,115.17,36.82,57450
Hebei,Jize,114.87,36.92,57350
Hebei,Guangping,114.93,36.48,57650
Hebei,Museumi,115.3,36.53,57750
Hebei,Wei,114.93,36.37,56800
Hebei,Qu Zhou,114.95,36.78,57250
Hebei,Wu'an,114.2,36.7,56300
Hebei,Xingtai,114.48,37.07,54000
Hebei,Bridge East,114.5,38.05,54000
Hebei,Bridge East,114.9,40.78,54000
Hebei,Bridge East,114.5,37.07,54000
Hebei,Qiaoxi,114.87,40.83,54000
Hebei,Qiaoxi,114.47,38.03,54000
Hebei,Qiaoxi,114.47,37.05,54000
Hebei,Xingtai,114.5,37.08,54000
Hebei,Lincheng,114.5,37.43,54300
Hebei,Neiqiu,114.52,37.3,54200
Hebei,Baixiang,114.68,37.5,55450
Hebei,Longyao,114.77,37.35,55350
Hebei,County,114.68,37.13,55151
Hebei,Nanhe,114.68,37,54400
Hebei,Ningjin,114.92,37.62,55550
Hebei,Junlu,115.03,37.22,55250
Hebei,Xinhe,115.25,37.53,55650
Hebei,Guangzong,115.15,37.07,54600
Hebei,Pingxiang,115.03,37.07,54500
Hebei,Wei,115.25,36.98,54700
Hebei,Qinghe,115.67,37.07,54800
Hebei,Linxi,115.5,36.85,54900
Hebei,Nangong,115.38,37.35,55750
Hebei,Shahe,114.5,36.85,54100
Hebei,Baoding,115.47,38.87,71000
Hebei,New urban,115.45,38.87,71000
Hebei,North,115.48,38.87,71000
Hebei,Nanshi,115.5,38.85,71000
Hebei,Mancheng,115.32,38.95,72150
Hebei,Qingyuan,115.48,38.77,71100
Hebei,Lishui,115.72,39.4,74100
Hebei,Fuping,114.18,38.85,73200
Hebei,Xushui,115.65,39.02,72550
Hebei,Dingxing,115.77,39.27,72650
Hebei,Tangxian,114.98,38.75,72350
Hebei,Gaoyang,115.78,38.68,71500
Hebei,Rongcheng,115.87,39.05,71700
Hebei,Yiyuan,114.68,39.35,74300
Hebei,Wangdu,115.15,38.72,72450
Hebei,Anxin,115.93,38.92,71600
Hebei,Yixian,115.5,39.35,74200
Hebei,Quyang,114.7,38.62,73100
Hebei,Li,115.57,38.48,71400
Hebei,Shunping,115.13,38.83,72250
Hebei,Bono,115.47,38.45,71300
Hebei,County,116.1,38.98,71800
Hebei,Dazhou,115.97,39.48,72750
Hebei,Dingzhou,114.97,38.52,73000
Hebei,Anguo,115.32,38.42,71200
Hebei,Gaobeidian,115.85,39.33,74000
Hebei,Zhangjiakou,114.88,40.82,75000
Hebei,Bridge East,114.5,38.05,75000
Hebei,Bridge East,114.9,40.78,75000
Hebei,Bridge East,114.5,37.07,75000
Hebei,Qiaoxi,114.87,40.83,75061
Hebei,Qiaoxi,114.47,38.03,75061
Hebei,Qiaoxi,114.47,37.05,75061
Hebei,Xuanhua,115.05,40.6,75100
Hebei,Xiahua Park,115.27,40.48,75300
Hebei,Xuanhua,115.02,40.55,75100
Hebei,Zhangbei,114.7,41.15,76450
Hebei,Kangbao,114.62,41.85,76650
Hebei,Guyuan,115.7,41.67,76550
Hebei,Shangyi,113.97,41.08,76750
Hebei,Wei,114.57,39.85,75700
Hebei,Yangyuan,114.17,40.12,75800
Hebei,Huai'an,114.42,40.67,76150
Hebei,All,114.72,40.75,76250
Hebei,Huailai,115.52,40.4,75400
Hebei,Lugu,115.22,40.38,75600
Hebei,Chicheng,115.83,40.92,75500
Hebei,Chongli,115.27,40.97,76350
Hebei,Chengde,117.93,40.97,67000
Hebei,Shuangqiao,117.93,40.97,67000
Hebei,Shuanglu,117.78,40.95,67000
Hebei,Eagle Small Camp Zone Mining,117.65,40.55,67200
Hebei,Chengde,118.17,40.77,67400
Hebei,Xinglong,117.52,40.43,67300
Hebei,Pingquan,118.68,41,67500
Hebei,Pingping,117.33,40.93,68250
Hebei,Longhua,117.72,41.32,68150
Hebei,Fengning Manchu,116.65,41.2,68350
Hebei,Kuancheng Manchu,118.48,40.6,67600
Hebei,Piece Manchu,117.75,41.93,68450
Hebei,Cangzhou,116.83,38.3,61000
Hebei,Xinhua,114.47,38.05,61000
Hebei,Xinhua,116.87,38.32,61000
Hebei,Canal,116.85,38.32,61000
Hebei,Cangxian,116.87,38.3,61000
Hebei,Qing,116.82,38.58,62650
Hebei,Dongguang,116.53,37.88,61600
Hebei,Haixing,117.48,38.13,61200
Hebei,Yanyan,117.22,38.05,61300
Hebei,Suning,115.83,38.43,62350
Hebei,Nanpi,116.7,38.03,61500
Hebei,Wuqiao,116.38,37.62,61800
Hebei,Xianxian,116.12,38.18,62250
Hebei,Mengcun,117.1,38.07,61400
Hebei,Botou,116.57,38.07,62150
Hebei,Renqiu,116.1,38.72,62550
Hebei,Huanghua,117.35,38.37,61100
Hebei,Hejian,116.08,38.43,62450
Hebei,Langfang,116.7,39.52,65000
Hebei,Sub -zone,116.68,39.52,65000
Hebei,Guangyang,116.72,39.53,65000
Hebei,Gu'an,116.3,39.43,65500
Hebei,Yongqing,116.5,39.32,65600
Hebei,Xianghe,117,39.77,65400
Hebei,Dacheng,116.63,38.7,65900
Hebei,Wen'an,116.47,38.87,65800
Hebei,Big Factory,116.98,39.88,65300
Hebei,Bazhou,116.4,39.1,65700
Hebei,Sanhe,117.07,39.98,65200
Hebei,Hengshui,115.68,37.73,53000
Hebei,Taocheng,115.68,37.73,53000
Hebei,Zaoqiang,115.72,37.52,53100
Hebei,Wuyi,115.88,37.82,53400
Hebei,Wuqiang,115.98,38.03,53300
Hebei,Raoyang,115.73,38.23,53900
Hebei,Anping,115.52,38.23,53600
Hebei,Hometown,115.97,37.35,253800
Hebei,Jingxian,116.27,37.7,53500
Hebei,Fucheng,116.15,37.87,53700
Hebei,Jizhou,115.57,37.57,53200
Hebei,Shenzhou,115.55,38.02,53800
Shanxi,Taiyuan,112.55,37.87,30000
Shanxi,Shop,112.57,37.73,30000
Shanxi,Yingze,112.57,37.87,30000
Shanxi,Xinghua Ling,112.57,37.88,30000
Shanxi,Diancaya,112.48,37.93,30000
Shanxi,Berlin,112.52,37.87,30000
Shanxi,Jinyuan,112.48,37.73,30000
Shanxi,Qingxu,112.35,37.6,30400
Shanxi,Yangqu,112.67,38.07,30100
Shanxi,Louzhi,111.78,38.07,30300
Shanxi,Ancient market,112.17,37.92,30200
Shanxi,Datong,113.3,40.08,37000
Shanxi,Urban,113.28,40.08,37006
Shanxi,Urban,113.6,37.85,37006
Shanxi,Urban,113.12,36.22,37006
Shanxi,Urban,112.83,35.5,37006
Shanxi,Mining,113.17,40.03,37001
Shanxi,Mining,113.57,37.87,37001
Shanxi,Southern suburbs,113.13,40,37000
Shanxi,Xinrong,113.15,40.27,37002
Shanxi,Yanggao,113.75,40.37,38100
Shanxi,Tianzhen,114.08,40.42,38200
Shanxi,Guangling,114.28,39.77,37500
Shanxi,Lingqiu,114.23,39.43,34400
Shanxi,Hunyuan,113.68,39.7,37400
Shanxi,Zuo Yun,112.7,40,37100
Shanxi,Datong,113.6,40.03,37300
Shanxi,Yangquan,113.57,37.85,45000
Shanxi,Urban,113.28,40.08,45000
Shanxi,Urban,113.6,37.85,45000
Shanxi,Urban,113.12,36.22,45000
Shanxi,Urban,112.83,35.5,45000
Shanxi,Mining,113.17,40.03,45000
Shanxi,Mining,113.57,37.87,45000
Shanxi,suburbs,113.58,37.93,45000
Shanxi,suburbs,113.12,36.2,45000
Shanxi,Pingding,113.62,37.8,45200
Shanxi,Yaoxian,113.4,38.08,45100
Shanxi,Changzhi,113.12,36.2,46000
Shanxi,Urban,113.28,40.08,46000
Shanxi,Urban,113.6,37.85,46000
Shanxi,Urban,113.12,36.22,46000
Shanxi,Urban,112.83,35.5,46000
Shanxi,suburbs,113.58,37.93,46000
Shanxi,suburbs,113.12,36.2,46000
Shanxi,Changzhi,113.03,36.05,47100
Shanxi,Xiangyuan,113.05,36.53,46200
Shanxi,Tunliu,112.88,36.32,46100
Shanxi,Pingshun,113.43,36.2,47400
Shanxi,Licheng,113.38,36.5,47600
Shanxi,Huguan,113.2,36.12,47300
Shanxi,Eldest son,112.87,36.12,46600
Shanxi,Wuxiang,112.85,36.83,46300
Shanxi,Qin,112.7,36.75,46400
Shanxi,Qinyuan,112.33,36.5,46500
Shanxi,Cities,113.22,36.33,47500
Shanxi,Jincheng,112.83,35.5,48000
Shanxi,Urban,113.28,40.08,48000
Shanxi,Urban,113.6,37.85,48000
Shanxi,Urban,113.12,36.22,48000
Shanxi,Urban,112.83,35.5,48000
Shanxi,Qinshui,112.18,35.68,48200
Shanxi,Yangcheng,112.42,35.48,48100
Shanxi,Lingchuan,113.27,35.78,48300
Shanxi,Zezhou,112.83,35.5,48012
Shanxi,Gaoping,112.92,35.8,48400
Shanxi,Shuozhou,112.43,39.33,36000
Shanxi,Shuocheng,112.43,39.33,36002
Shanxi,Shanyin,112.82,39.52,36900
Shanxi,Ying,113.18,39.55,37600
Shanxi,Youyu,112.47,39.98,37200
Shanxi,Huairen,113.08,39.83,38300
Shanxi,Jinzhong,112.75,37.68,30600
Shanxi,Yuci,112.75,37.68,30600
Shanxi,Yushe,112.97,37.07,31800
Shanxi,Zuoquan,113.37,37.07,32600
Shanxi,Heshun,113.57,37.33,32700
Shanxi,Xiyang,113.7,37.62,45300
Shanxi,Shouyang,113.18,37.88,45400
Shanxi,Taigu,112.55,37.42,30800
Shanxi,Qixian,112.33,37.35,30900
Shanxi,Pingyao,112.17,37.18,31100
Shanxi,Lingshi,111.77,36.85,31300
Shanxi,Market,111.92,37.03,32000
Shanxi,Transport,110.98,35.02,44000
Shanxi,Salt lake,110.98,35.02,44000
Shanxi,Linyi,110.77,35.15,44100
Shanxi,Wanrong,110.83,35.42,44200
Shanxi,Wenxi,111.22,35.35,43800
Shanxi,Takayama Prefecture,110.97,35.6,43200
Shanxi,Xinyi,111.22,35.62,43100
Shanxi,Dangxian,111.57,35.48,43600
Shanxi,Yuanqu,111.67,35.3,43700
Shanxi,Xia,111.22,35.15,44400
Shanxi,Pinglu,111.22,34.83,44300
Shanxi,Ruicheng,110.68,34.7,44600
Shanxi,Hejin,110.7,35.6,43300
Shanxi,Xinzhou,112.73,38.42,34000
Shanxi,Xinfu,112.73,38.42,34000
Shanxi,Dingxiang,112.95,38.48,35400
Shanxi,Wutai,113.25,38.73,35500
Shanxi,Extended,112.95,39.07,34200
Shanxi,Fanzhi,113.25,39.18,34300
Shanxi,Ningwu,112.3,39,36700
Shanxi,Jingle,111.93,38.37,35100
Shanxi,Shenchi,112.2,39.08,36100
Shanxi,Wuzhai,111.85,38.9,36200
Shanxi,岢 岢 岢 岢 岢,111.57,38.7,36300
Shanxi,Hequ,111.13,39.38,36500
Shanxi,Yiguan,111.5,39.43,36400
Shanxi,Yuanping,112.7,38.73,34100
Shanxi,Linfen,111.52,36.08,41000
Shanxi,Yaotu,111.52,36.08,41000
Shanxi,Quwo,111.47,35.63,43400
Shanxi,Yicheng,111.72,35.73,43500
Shanxi,Xiangfen,111.43,35.88,41500
Shanxi,Hongdong,111.67,36.25,41600
Shanxi,Ancient,111.92,36.27,42400
Shanxi,Anze,112.25,36.15,42500
Shanxi,Fushan,111.83,35.97,42600
Shanxi,Ji,110.68,36.1,42200
Shanxi,Xiangning,110.83,35.97,42100
Shanxi,Daning,110.75,36.47,42300
Shanxi,Qixian,110.93,36.7,41300
Shanxi,Yonghe,110.63,36.77,41400
Shanxi,Pu,111.08,36.42,41200
Shanxi,Fenxi,111.57,36.65,31500
Shanxi,Houma,111.35,35.62,43000
Shanxi,Huozhou,111.72,36.57,31400
Shanxi,Luliang,111.13,37.52,33000
Shanxi,Littering,111.13,37.52,33000
Shanxi,Wenshui,112.02,37.43,32100
Shanxi,Jiaocheng,112.15,37.55,30500
Shanxi,Xingxian,111.12,38.47,33600
Shanxi,Linxian,110.98,37.95,33200
Shanxi,Liulin,110.9,37.43,33300
Shanxi,Shilou,110.83,37,32500
Shanxi,Lanxian,111.67,38.28,35200
Shanxi,Fangshan,111.23,37.88,33100
Shanxi,Zhongyang,111.18,37.33,33400
Shanxi,Jiakou,111.2,36.97,32400
Shanxi,Xiaoyi,111.77,37.15,32300
Shanxi,Fenyang,111.78,37.27,32200
Inner Mongolia,Hohhot,111.73,40.83,10000
Inner Mongolia,New town,111.65,40.87,10000
Inner Mongolia,Return to the people,111.6,40.8,10030
Inner Mongolia,Yuquan,111.67,40.75,10000
Inner Mongolia,SaiHan,111.68,40.8,10020
Inner Mongolia,Turkom Zuoqi,111.13,40.72,10100
Inner Mongolia,Toto,111.18,40.27,10200
Inner Mongolia,Helinle,111.82,40.38,11500
Inner Mongolia,Qingshuihe,111.68,39.92,11600
Inner Mongolia,Wuchuan,111.45,41.08,11700
Inner Mongolia,Baotou,109.83,40.65,14000
Inner Mongolia,Donghe,110.02,40.58,14040
Inner Mongolia,Kundulun,109.83,40.63,14010
Inner Mongolia,Qingshan,109.9,40.65,14030
Inner Mongolia,Shiguang,110.27,40.68,14070
Inner Mongolia,Jiutihara,109.97,40.6,14060
Inner Mongolia,Turkom Right Banner,110.52,40.57,14100
Inner Mongolia,Guyang,110.05,41.03,14200
Inner Mongolia,Darhamima Mingan Union Flag,110.43,41.7,14500
Inner Mongolia,Wuhai,106.82,39.67,16000
Inner Mongolia,Hai Bay Bay,106.83,39.7,16000
Inner Mongolia,Hainan,106.88,39.43,16000
Inner Mongolia,Wuda,106.7,39.5,16000
Inner Mongolia,Chifeng,118.92,42.27,24000
Inner Mongolia,Hongshan,118.97,42.28,24000
Inner Mongolia,Yuanbao Mountain,119.28,42.03,24000
Inner Mongolia,Songshan,118.92,42.28,24000
Inner Mongolia,Arukorqin Banner,120.08,43.88,25550
Inner Mongolia,Balin Zuoqi,119.38,43.98,25450
Inner Mongolia,Barin Right Banner,118.67,43.52,25150
Inner Mongolia,Linxi,118.05,43.6,25350
Inner Mongolia,Kashkteng Banner,117.53,43.25,25350
Inner Mongolia,Weng Niuteqi,119.02,42.93,24500
Inner Mongolia,Karaqinqi,118.7,41.93,24400
Inner Mongolia,Ningcheng,119.33,41.6,24200
Inner Mongolia,Aohan Banner,119.9,42.28,24300
Inner Mongolia,Tongliao,122.27,43.62,28000
Inner Mongolia,Corin,122.27,43.62,28000
Inner Mongolia,Korqin's left wing Zhongqi,123.32,44.13,29300
Inner Mongolia,Korqin's left wing back flag,122.35,42.95,28100
Inner Mongolia,Kailu,121.3,43.6,28400
Inner Mongolia,Kuron Banner,121.77,42.73,28200
Inner Mongolia,Naiman Banner,120.65,42.85,28300
Inner Mongolia,Zarut Banner,120.92,44.55,29100
Inner Mongolia,Huolin Guole,119.65,45.53,29200
Inner Mongolia,Ordos,109.8,39.62,17000
Inner Mongolia,Dongsheng,110,39.82,17000
Inner Mongolia,Dalat Banner,110.03,40.4,14300
Inner Mongolia,Jun Ge Ban,111.23,39.87,17100
Inner Mongolia,Ortokqian flag,107.48,38.18,16200
Inner Mongolia,Ortoch Banner,107.98,39.1,16100
Inner Mongolia,Hangzhou Jinqi,108.72,39.83,17400
Inner Mongolia,Ukraine Banner,108.85,38.6,17300
Inner Mongolia,Ikinhlo Banner,109.73,39.57,17200
Inner Mongolia,Hulunbeir,119.77,49.22,21000
Inner Mongolia,Hailar,119.77,49.22,21000
Inner Mongolia,Arong Banner,123.47,48.13,162750
Inner Mongolia,Olun Autonomous Banner,123.72,50.58,22450
Inner Mongolia,Ewenki Autonomous Banner,119.75,49.13,21100
Inner Mongolia,Chen Balhu Banner,119.43,49.32,21500
Inner Mongolia,New Balhu Zuoqi,118.27,48.22,21200
Inner Mongolia,New Barcoro Right Banner,116.82,48.67,21300
Inner Mongolia,Manzhouli,117.45,49.58,21400
Inner Mongolia,Kukeshi,120.73,49.28,22150
Inner Mongolia,Zhalantun,122.75,47.98,162650
Inner Mongolia,Erguna,120.18,50.23,22250
Inner Mongolia,Genhe,121.52,50.78,22350
Inner Mongolia,Bayannur,107.42,40.75,15000
Inner Mongolia,Linhe,107.4,40.75,15000
Inner Mongolia,Wuyuan,108.27,41.1,15100
Inner Mongolia,Takou,107.02,40.33,15200
Inner Mongolia,Urart Qianqi Banner,108.65,40.72,14400
Inner Mongolia,Ulatzaka Banner,108.52,41.57,15300
Inner Mongolia,Urater Houqi Banner,107.07,41.1,15543
Inner Mongolia,Hangjin Houqi Banner,107.15,40.88,15400
Inner Mongolia,Ulanqab,113.12,40.98,12000
Inner Mongolia,Jining,113.1,41.03,12000
Inner Mongolia,Zhuozi,112.57,40.9,12300
Inner Mongolia,Hua De,114,41.9,13350
Inner Mongolia,Shangdu,113.53,41.55,13450
Inner Mongolia,Xinghe,113.88,40.88,13650
Inner Mongolia,Liangcheng,112.48,40.53,13750
Inner Mongolia,Chahar's right wing front flag,113.22,40.78,12200
Inner Mongolia,Chahar's right wing middle flag,112.63,41.27,13550
Inner Mongolia,Chahar's right -wing back flag,113.18,41.45,12400
Inner Mongolia,Four Son King Banner,111.7,41.52,11800
Inner Mongolia,Fengzhen,113.15,40.43,12100
Inner Mongolia,Xing'an,122.05,46.08,137400
Inner Mongolia,Ulanhot,122.05,46.08,137400
Inner Mongolia,Alishan,119.93,47.18,137805
Inner Mongolia,Korqin's right front flag,121.92,46.07,137423
Inner Mongolia,Korqin's right -wing Banner,121.47,45.05,29400
Inner Mongolia,Takaya Banner,122.9,46.73,137600
Inner Mongolia,Taro Spring,121.57,45.38,137500
Inner Mongolia,Xilin Gol,116.07,43.95,26000
Inner Mongolia,Erlianhot,111.98,43.65,12600
Inner Mongolia,Silinhot,116.07,43.93,26000
Inner Mongolia,Aboba Banner,114.97,44.02,11400
Inner Mongolia,Sonit Zuoqi,113.63,43.85,11300
Inner Mongolia,Sonit Right Banner,112.65,42.75,11200
Inner Mongolia,Dongwu Mount,116.97,45.52,26300
Inner Mongolia,West Wusumin Banner,117.6,44.58,26200
Inner Mongolia,Taipi Temple Banner,115.28,41.9,27000
Inner Mongolia,Mosaic,113.83,42.23,13250
Inner Mongolia,Positive white flag,115,42.3,13800
Inner Mongolia,Zhenglan Banner,116,42.25,27200
Inner Mongolia,Duolun,116.47,42.18,27300
Inner Mongolia,Alxa,105.67,38.83,750306
Inner Mongolia,Alxa Zuoqi,105.67,38.83,750306
Inner Mongolia,Alashan Right Banner,101.68,39.2,737300
Inner Mongolia,Ejin Banner,101.07,41.97,735400
Liaoning,Shenyang,123.43,41.8,110000
Liaoning,Heping,123.4,41.78,110000
Liaoning,Shenhe,123.45,41.8,110000
Liaoning,Great East,123.47,41.8,110041
Liaoning,Emperor,123.42,41.82,110000
Liaoning,Tiexi,122.95,41.12,110020
Liaoning,Tiexi,123.35,41.8,110020
Liaoning,Sujiatun,123.33,41.67,110101
Liaoning,Dongling,123.47,41.77,110000
Liaoning,Xinchengzi,123.52,42.05,110121
Liaoning,Yuhong,123.3,41.78,110000
Liaoning,Liaozhong,122.72,41.52,110200
Liaoning,Kangping,123.35,42.75,110500
Liaoning,Faku,123.4,42.5,110400
Liaoning,Xinmin,122.82,42,110300
Liaoning,Dalian,121.62,38.92,116000
Liaoning,Zhongshan,121.63,38.92,116001
Liaoning,Xigang,121.6,38.92,116000
Liaoning,Shahekou,121.58,38.9,116021
Liaoning,Ganjingzi,121.57,38.95,116033
Liaoning,Lushunkou,121.27,38.82,116041
Liaoning,Jinzhou,121.7,39.1,116100
Liaoning,Changhai,122.58,39.27,116500
Liaoning,Wafangdian,122,39.62,116300
Liaoning,Pulandian,121.95,39.4,116200
Liaoning,Zhuanghe,122.98,39.7,116400
Liaoning,Anshan,122.98,41.1,114000
Liaoning,East,122.98,41.1,114001
Liaoning,Tiexi,122.95,41.12,114014
Liaoning,Tiexi,123.35,41.8,114014
Liaoning,Lishan,123,41.15,114031
Liaoning,Qianshan,122.97,41.07,114000
Liaoning,Tai'an,122.42,41.38,114100
Liaoning,Xiuyan Manchu,123.28,40.28,114300
Liaoning,Sea,122.7,40.88,114200
Liaoning,Fushun,123.98,41.88,113006
Liaoning,New warehouse,123.88,41.87,113008
Liaoning,Dongzhou,124.02,41.85,113006
Liaoning,Wanghua,123.78,41.85,113001
Liaoning,Shuncheng,123.93,41.88,113006
Liaoning,Fushun,123.9,41.88,113118
Liaoning,Xinbin Manchu,125.03,41.73,113200
Liaoning,Qingyuan Manchu,124.92,42.1,113300
Liaoning,Benxi,123.77,41.3,117000
Liaoning,Pingshan,123.77,41.3,117000
Liaoning,Xihu,123.77,41.33,117000
Liaoning,Mingshan,123.82,41.3,117000
Liaoning,Nanfen,123.73,41.1,117000
Liaoning,Benxi Manchu,124.12,41.3,117100
Liaoning,Huanren Manchu,125.35,41.27,117200
Liaoning,Dandong,124.38,40.13,118000
Liaoning,Yuanbao,124.38,40.13,118000
Liaoning,Revitalize,124.35,40.08,118000
Liaoning,Zhen'an,124.42,40.17,118000
Liaoning,Kuandian Manchu,124.78,40.73,118200
Liaoning,Donggang,124.15,39.87,118300
Liaoning,Phoenix,124.07,40.45,118100
Liaoning,Jinzhou,121.13,41.1,121000
Liaoning,Ancient tower,121.12,41.13,121000
Liaoning,Linghe,121.15,41.12,121000
Liaoning,Taihe,121.1,41.1,121011
Liaoning,Heishan,122.12,41.7,121400
Liaoning,Righteous,121.23,41.53,121100
Liaoning,Linghai,121.35,41.17,121200
Liaoning,Yingkou,122.23,40.67,115000
Liaoning,Station,122.27,40.68,115002
Liaoning,West,122.22,40.67,115004
Liaoning,Bayu circle,122.12,40.27,115007
Liaoning,Old border,122.37,40.67,115005
Liaoning,Gaizhou,122.35,40.4,115200
Liaoning,Dashiqiao,122.5,40.65,115100
Liaoning,Fuxin,121.67,42.02,123000
Liaoning,Haizhou,121.65,42.02,123000
Liaoning,Taiping,121.67,42.02,123003
Liaoning,Qinghemen,121.42,41.75,123006
Liaoning,Xixia,121.68,42.03,123000
Liaoning,Fuxin,121.75,42.07,123100
Liaoning,Zhangwu,122.53,42.38,123200
Liaoning,Liaoyang,123.17,41.27,111000
Liaoning,White tower,123.17,41.27,111000
Liaoning,Wen Sheng,123.18,41.27,111000
Liaoning,Hongwei,123.2,41.2,111000
Liaoning,Gong Changling,123.45,41.13,111008
Liaoning,Prince River,123.18,41.25,111000
Liaoning,Liaoyang,123.07,41.22,111200
Liaoning,Lighthouse,123.33,41.42,111300
Liaoning,Panjin,122.07,41.12,124000
Liaoning,Double,122.05,41.2,124000
Liaoning,Xinglongtai,122.07,41.12,124010
Liaoning,Dawa,122.07,40.98,124200
Liaoning,Panshan,122.02,41.25,124100
Liaoning,Tieling,123.83,42.28,112000
Liaoning,Yinzhou,123.85,42.28,112000
Liaoning,Qinghe,124.15,42.53,112003
Liaoning,Tieling,123.83,42.3,112600
Liaoning,Xifeng,124.72,42.73,112400
Liaoning,Changtu,124.1,42.78,112500
Liaoning,Tune Mountain,123.55,42.47,112700
Liaoning,Kaiyuan,124.03,42.55,112300
Liaoning,Chaoyang,120.45,41.57,122000
Liaoning,Double tower,120.45,41.57,122000
Liaoning,Longcheng,120.43,41.6,122000
Liaoning,Chaoyang,120.47,41.58,122000
Liaoning,Jianping,119.63,41.4,122400
Liaoning,North Ticket,120.77,41.8,122100
Liaoning,Lingyuan,119.4,41.25,122500
