Province,Country,Type,Amount,Unit,ID,Source,year,value,Province.Code
Beijing,China,City Level,Statutory Limits on Local Government Debt,CNY 100mn,K5945473,Beijing People's Government,2021,4557.48,110000
Beijing,China,Governmental Funds Revenue,Total,CNY 100mn,M6800057,Beijing People's Government,2014,3122.9100000000003,110000
Beijing,China,Governmental Funds Revenue,Total,CNY 100mn,M6800057,Beijing People's Government,2007,0,110000
Beijing,China,Governmental Funds Revenue,Total,CNY 100mn,M6800057,Beijing People's Government,2009,0,110000
Beijing,China,City Level,Statutory Limits on Local Government Debt,CNY 100mn,K5945473,Beijing People's Government,2010,0,110000
Beijing,China,City Level,Statutory Limits on Local Government Debt,CNY 100mn,K5945473,Beijing People's Government,2006,0,110000
Beijing,China,City Level,Statutory Limits on Local Government Debt,CNY 100mn,K5945473,Beijing People's Government,2016,0,110000
Beijing,China,City Level,Statutory Limits on Local Government Debt,CNY 100mn,K5945473,Beijing People's Government,2017,3693.71,110000
Beijing,China,City Level,Statutory Limits on Local Government Debt,CNY 100mn,K5945473,Beijing People's Government,2019,3769.24,110000
Beijing,China,Governmental Funds Revenue,Total,CNY 100mn,M6800057,Beijing People's Government,2021,2705.73,110000
Beijing,China,Governmental Funds Revenue,Total,CNY 100mn,M6800057,Beijing People's Government,2006,0,110000
Beijing,China,City Level,Statutory Limits on Local Government Debt,CNY 100mn,K5945473,Beijing People's Government,2022,3214.74,110000
Beijing,China,Governmental Funds Revenue,Total,CNY 100mn,M6800057,Beijing People's Government,2008,0,110000
Beijing,China,Governmental Funds Revenue,Total,CNY 100mn,M6800057,Beijing People's Government,2013,1841.76,110000
Beijing,China,City Level,Statutory Limits on Local Government Debt,CNY 100mn,K5945473,Beijing People's Government,2013,0,110000
Beijing,China,Governmental Funds Revenue,Total,CNY 100mn,M6800057,Beijing People's Government,2011,1352.8,110000
Beijing,China,Governmental Funds Revenue,Total,CNY 100mn,M6800057,Beijing People's Government,2012,1197.9,110000
Beijing,China,Governmental Funds Revenue,Total,CNY 100mn,M6800057,Beijing People's Government,2020,2317.3500000000004,110000
Beijing,China,Governmental Funds Revenue,Total,CNY 100mn,M6800057,Beijing People's Government,2016,1316.47,110000
Beijing,China,City Level,Statutory Limits on Local Government Debt,CNY 100mn,K5945473,Beijing People's Government,2014,0,110000
Beijing,China,City Level,Statutory Limits on Local Government Debt,CNY 100mn,K5945473,Beijing People's Government,2015,0,110000
Beijing,China,City Level,Statutory Limits on Local Government Debt,CNY 100mn,K5945473,Beijing People's Government,2011,0,110000
Beijing,China,City Level,Statutory Limits on Local Government Debt,CNY 100mn,K5945473,Beijing People's Government,2009,0,110000
Beijing,China,Governmental Funds Revenue,Total,CNY 100mn,M6800057,Beijing People's Government,2017,3132.7599999999998,110000
Beijing,China,City Level,Statutory Limits on Local Government Debt,CNY 100mn,K5945473,Beijing People's Government,2007,0,110000
Beijing,China,City Level,Statutory Limits on Local Government Debt,CNY 100mn,K5945473,Beijing People's Government,2012,0,110000
Beijing,China,Governmental Funds Revenue,Total,CNY 100mn,M6800057,Beijing People's Government,2018,2009.26,110000
Beijing,China,City Level,Statutory Limits on Local Government Debt,CNY 100mn,K5945473,Beijing People's Government,2008,0,110000
Chongqing,China,Same Level,Statutory Limits on Local Government Debt,CNY 100mn,M5543400,Ministry of Finance,2013,0,500000
Chongqing,China,Same Level,Statutory Limits on Local Government Debt,CNY 100mn,M5543400,Ministry of Finance,2014,0,500000
Chongqing,China,Same Level,Statutory Limits on Local Government Debt,CNY 100mn,M5543400,Ministry of Finance,2015,1064.5,500000
Chongqing,China,Revenue of Local Government Funds,Total,CNY 10k,M0065678,Chongqing Municipal Bureau of Statistics,2021,23579400,500000
Chongqing,China,Revenue of Local Government Funds,Total,CNY 10k,M0065678,Chongqing Municipal Bureau of Statistics,2007,0,500000
Chongqing,China,Same Level,Statutory Limits on Local Government Debt,CNY 100mn,M5543400,Ministry of Finance,2007,0,500000
Chongqing,China,Same Level,Statutory Limits on Local Government Debt,CNY 100mn,M5543400,Ministry of Finance,2008,0,500000
Chongqing,China,Same Level,Statutory Limits on Local Government Debt,CNY 100mn,M5543400,Ministry of Finance,2009,0,500000
Chongqing,China,Revenue of Local Government Funds,Total,CNY 10k,M0065678,Chongqing Municipal Bureau of Statistics,2022,17539494,500000
Chongqing,China,Revenue of Local Government Funds,Total,CNY 10k,M0065678,Chongqing Municipal Bureau of Statistics,2016,14973000,500000
Chongqing,China,Same Level,Statutory Limits on Local Government Debt,CNY 100mn,M5543400,Ministry of Finance,2010,0,500000
Chongqing,China,Same Level,Statutory Limits on Local Government Debt,CNY 100mn,M5543400,Ministry of Finance,2012,0,500000
Chongqing,China,Revenue of Local Government Funds,Total,CNY 10k,M0065678,Chongqing Municipal Bureau of Statistics,2020,24580000,500000
Chongqing,China,Revenue of Local Government Funds,Total,CNY 10k,M0065678,Chongqing Municipal Bureau of Statistics,2006,0,500000
Chongqing,China,Same Level,Statutory Limits on Local Government Debt,CNY 100mn,M5543400,Ministry of Finance,2018,1805.9,500000
Chongqing,China,Revenue of Local Government Funds,Total,CNY 10k,M0065678,Chongqing Municipal Bureau of Statistics,2008,0,500000
Chongqing,China,Same Level,Statutory Limits on Local Government Debt,CNY 100mn,M5543400,Ministry of Finance,2016,1048,500000
Chongqing,China,Same Level,Statutory Limits on Local Government Debt,CNY 100mn,M5543400,Ministry of Finance,2006,0,500000
Chongqing,China,Revenue of Local Government Funds,Total,CNY 10k,M0065678,Chongqing Municipal Bureau of Statistics,2013,16698000,500000
Chongqing,China,Same Level,Statutory Limits on Local Government Debt,CNY 100mn,M5543400,Ministry of Finance,2019,2203,500000
Chongqing,China,Same Level,Statutory Limits on Local Government Debt,CNY 100mn,M5543400,Ministry of Finance,2020,2317.6,500000
Chongqing,China,Revenue of Local Government Funds,Total,CNY 10k,M0065678,Chongqing Municipal Bureau of Statistics,2019,22479327,500000
Chongqing,China,Revenue of Local Government Funds,Total,CNY 10k,M0065678,Chongqing Municipal Bureau of Statistics,2011,0,500000
Chongqing,China,Same Level,Statutory Limits on Local Government Debt,CNY 100mn,M5543400,Ministry of Finance,2021,2864,500000
Chongqing,China,Same Level,Statutory Limits on Local Government Debt,CNY 100mn,M5543400,Ministry of Finance,2011,0,500000
Chongqing,China,Revenue of Local Government Funds,Total,CNY 10k,M0065678,Chongqing Municipal Bureau of Statistics,2010,0,500000
Chongqing,China,Same Level,Statutory Limits on Local Government Debt,CNY 100mn,M5543400,Ministry of Finance,2022,3175,500000
Chongqing,China,Same Level,Statutory Limits on Local Government Debt,CNY 100mn,M5543400,Ministry of Finance,2017,1351.7,500000
Chongqing,China,Revenue of Local Government Funds,Total,CNY 10k,M0065678,Chongqing Municipal Bureau of Statistics,2009,0,500000
Chongqing,China,Revenue of Local Government Funds,Total,CNY 10k,M0065678,Chongqing Municipal Bureau of Statistics,2018,23162545,500000
Chongqing,China,Revenue of Local Government Funds,Total,CNY 10k,M0065678,Chongqing Municipal Bureau of Statistics,2015,16642000,500000
Chongqing,China,Revenue of Local Government Funds,Total,CNY 10k,M0065678,Chongqing Municipal Bureau of Statistics,2012,14344551,500000
Chongqing,China,Revenue of Local Government Funds,Total,CNY 10k,M0065678,Chongqing Municipal Bureau of Statistics,2017,22510000,500000
Chongqing,China,Revenue of Local Government Funds,Total,CNY 10k,M0065678,Chongqing Municipal Bureau of Statistics,2014,12846233,500000
Fujian,China,Revenue of Government Funds,Total,CNY 10k,M0065593,Fujian Provincial Bureau of Statistics,2008,5626800,350000
Fujian,China,Same Level,Statutory Limits on Local Government Debt,CNY 100mn,M6094827,Ministry of Finance,2010,0,350000
Fujian,China,Revenue of Government Funds,Total,CNY 10k,M0065593,Fujian Provincial Bureau of Statistics,2015,13045600,350000
Fujian,China,Revenue of Government Funds,Total,CNY 10k,M0065593,Fujian Provincial Bureau of Statistics,2013,21329400,350000
Fujian,China,Revenue of Government Funds,Total,CNY 10k,M0065593,Fujian Provincial Bureau of Statistics,2011,17533400,350000
Fujian,China,Revenue of Government Funds,Total,CNY 10k,M0065593,Fujian Provincial Bureau of Statistics,2014,22856400,350000
Fujian,China,Revenue of Government Funds,Total,CNY 10k,M0065593,Fujian Provincial Bureau of Statistics,2006,1833400,350000
Fujian,China,Revenue of Government Funds,Total,CNY 10k,M0065593,Fujian Provincial Bureau of Statistics,2007,6909200,350000
Fujian,China,Same Level,Statutory Limits on Local Government Debt,CNY 100mn,M6094827,Ministry of Finance,2007,0,350000
Fujian,China,Same Level,Statutory Limits on Local Government Debt,CNY 100mn,M6094827,Ministry of Finance,2020,199.6,350000
Fujian,China,Same Level,Statutory Limits on Local Government Debt,CNY 100mn,M6094827,Ministry of Finance,2008,0,350000
Fujian,China,Same Level,Statutory Limits on Local Government Debt,CNY 100mn,M6094827,Ministry of Finance,2006,0,350000
Fujian,China,Same Level,Statutory Limits on Local Government Debt,CNY 100mn,M6094827,Ministry of Finance,2012,0,350000
Fujian,China,Same Level,Statutory Limits on Local Government Debt,CNY 100mn,M6094827,Ministry of Finance,2013,0,350000
Fujian,China,Same Level,Statutory Limits on Local Government Debt,CNY 100mn,M6094827,Ministry of Finance,2014,0,350000
Fujian,China,Same Level,Statutory Limits on Local Government Debt,CNY 100mn,M6094827,Ministry of Finance,2011,0,350000
Fujian,China,Revenue of Government Funds,Total,CNY 10k,M0065593,Fujian Provincial Bureau of Statistics,2012,17814400,350000
Fujian,China,Same Level,Statutory Limits on Local Government Debt,CNY 100mn,M6094827,Ministry of Finance,2016,105.28,350000
Fujian,China,Same Level,Statutory Limits on Local Government Debt,CNY 100mn,M6094827,Ministry of Finance,2018,126.2,350000
Fujian,China,Same Level,Statutory Limits on Local Government Debt,CNY 100mn,M6094827,Ministry of Finance,2019,154.23999999999998,350000
Fujian,China,Same Level,Statutory Limits on Local Government Debt,CNY 100mn,M6094827,Ministry of Finance,2009,0,350000
Fujian,China,Revenue of Government Funds,Total,CNY 10k,M0065593,Fujian Provincial Bureau of Statistics,2017,0,350000
Fujian,China,Revenue of Government Funds,Total,CNY 10k,M0065593,Fujian Provincial Bureau of Statistics,2018,25870968,350000
Fujian,China,Same Level,Statutory Limits on Local Government Debt,CNY 100mn,M6094827,Ministry of Finance,2021,229.17,350000
Fujian,China,Revenue of Government Funds,Total,CNY 10k,M0065593,Fujian Provincial Bureau of Statistics,2009,6806300,350000
Fujian,China,Revenue of Government Funds,Total,CNY 10k,M0065593,Fujian Provincial Bureau of Statistics,2010,14782000,350000
Fujian,China,Revenue of Government Funds,Total,CNY 10k,M0065593,Fujian Provincial Bureau of Statistics,2021,0,350000
Fujian,China,Revenue of Government Funds,Total,CNY 10k,M0065593,Fujian Provincial Bureau of Statistics,2019,25696758,350000
Fujian,China,Revenue of Government Funds,Total,CNY 10k,M0065593,Fujian Provincial Bureau of Statistics,2022,0,350000
Fujian,China,Revenue of Government Funds,Total,CNY 10k,M0065593,Fujian Provincial Bureau of Statistics,2016,0,350000
Fujian,China,Same Level,Statutory Limits on Local Government Debt,CNY 100mn,M6094827,Ministry of Finance,2022,270.47999999999996,350000
Fujian,China,Same Level,Statutory Limits on Local Government Debt,CNY 100mn,M6094827,Ministry of Finance,2017,118.36999999999999,350000
Fujian,China,Same Level,Statutory Limits on Local Government Debt,CNY 100mn,M6094827,Ministry of Finance,2015,0,350000
Fujian,China,Revenue of Government Funds,Total,CNY 10k,M0065593,Fujian Provincial Bureau of Statistics,2020,34297096,350000
Gansu,(DC) China,Revenue of Local Government Funds,Compensable Payment for Newly Used Land,CNY 10k,M0160200,Gansu Provincial Department of Finance,2007,0,620000
Gansu,China,Provincial Level,Statutory Limits on Local Government Debt,CNY 100mn,M5543432,Ministry of Finance,2021,0,620000
Gansu,(DC) China,Revenue of Local Government Funds,Compensable Payment for Newly Used Land,CNY 10k,M0160200,Gansu Provincial Department of Finance,2008,0,620000
Gansu,(DC) China,Revenue of Local Government Funds,Compensable Payment for Newly Used Land,CNY 10k,M0160200,Gansu Provincial Department of Finance,2009,0,620000
Gansu,(DC) China,Revenue of Local Government Funds,Compensable Payment for Newly Used Land,CNY 10k,M0160200,Gansu Provincial Department of Finance,2006,0,620000
Gansu,(DC) China,Revenue of Local Government Funds,Compensable Payment for Newly Used Land,CNY 10k,M0160200,Gansu Provincial Department of Finance,2020,0,620000
Gansu,(DC) China,Revenue of Local Government Funds,Compensable Payment for Newly Used Land,CNY 10k,M0160200,Gansu Provincial Department of Finance,2021,0,620000
Gansu,(DC) China,Revenue of Local Government Funds,Compensable Payment for Newly Used Land,CNY 10k,M0160200,Gansu Provincial Department of Finance,2022,0,620000
Gansu,(DC) China,Revenue of Local Government Funds,Compensable Payment for Newly Used Land,CNY 10k,M0160200,Gansu Provincial Department of Finance,2010,0,620000
Gansu,(DC) China,Revenue of Local Government Funds,Compensable Payment for Newly Used Land,CNY 10k,M0160200,Gansu Provincial Department of Finance,2011,85125,620000
Gansu,(DC) China,Revenue of Local Government Funds,Compensable Payment for Newly Used Land,CNY 10k,M0160200,Gansu Provincial Department of Finance,2012,74840,620000
Gansu,(DC) China,Revenue of Local Government Funds,Compensable Payment for Newly Used Land,CNY 10k,M0160200,Gansu Provincial Department of Finance,2015,91918,620000
Gansu,(DC) China,Revenue of Local Government Funds,Compensable Payment for Newly Used Land,CNY 10k,M0160200,Gansu Provincial Department of Finance,2014,67761,620000
Gansu,China,Revenue of Local Government Funds,Total,CNY 10k,M0160194,Gansu Provincial Department of Finance,2008,0,620000
Gansu,China,Revenue of Local Government Funds,Total,CNY 10k,M0160194,Gansu Provincial Department of Finance,2009,0,620000
Gansu,China,Revenue of Local Government Funds,Total,CNY 10k,M0160194,Gansu Provincial Department of Finance,2010,0,620000
Gansu,China,Revenue of Local Government Funds,Total,CNY 10k,M0160194,Gansu Provincial Department of Finance,2011,1864486,620000
Gansu,China,Revenue of Local Government Funds,Total,CNY 10k,M0160194,Gansu Provincial Department of Finance,2012,1919200,620000
Gansu,China,Revenue of Local Government Funds,Total,CNY 10k,M0160194,Gansu Provincial Department of Finance,2013,3749133,620000
Gansu,China,Revenue of Local Government Funds,Total,CNY 10k,M0160194,Gansu Provincial Department of Finance,2014,3595057,620000
Gansu,China,Revenue of Local Government Funds,Total,CNY 10k,M0160194,Gansu Provincial Department of Finance,2015,3529560,620000
Gansu,China,Revenue of Local Government Funds,Total,CNY 10k,M0160194,Gansu Provincial Department of Finance,2016,4109982,620000
Gansu,China,Revenue of Local Government Funds,Total,CNY 10k,M0160194,Gansu Provincial Department of Finance,2017,4135104,620000
Gansu,China,Revenue of Local Government Funds,Total,CNY 10k,M0160194,Gansu Provincial Department of Finance,2018,3993318,620000
Gansu,(DC) China,Revenue of Local Government Funds,Compensable Payment for Newly Used Land,CNY 10k,M0160200,Gansu Provincial Department of Finance,2013,109184,620000
Gansu,China,Revenue of Local Government Funds,Total,CNY 10k,M0160194,Gansu Provincial Department of Finance,2020,6503919,620000
Gansu,China,Revenue of Local Government Funds,Total,CNY 10k,M0160194,Gansu Provincial Department of Finance,2021,5956620,620000
Gansu,China,Revenue of Local Government Funds,Total,CNY 10k,M0160194,Gansu Provincial Department of Finance,2022,0,620000
Gansu,China,Provincial Level,Statutory Limits on Local Government Debt,CNY 100mn,M5543432,Ministry of Finance,2022,0,620000
Gansu,(DC) China,Revenue of Local Government Funds,Compensable Payment for Newly Used Land,CNY 10k,M0160200,Gansu Provincial Department of Finance,2016,80729,620000
Gansu,(DC) China,Revenue of Local Government Funds,Compensable Payment for Newly Used Land,CNY 10k,M0160200,Gansu Provincial Department of Finance,2017,0,620000
Gansu,(DC) China,Revenue of Local Government Funds,Compensable Payment for Newly Used Land,CNY 10k,M0160200,Gansu Provincial Department of Finance,2018,0,620000
Gansu,(DC) China,Revenue of Local Government Funds,Compensable Payment for Newly Used Land,CNY 10k,M0160200,Gansu Provincial Department of Finance,2019,0,620000
Gansu,China,Provincial Level,Statutory Limits on Local Government Debt,CNY 100mn,M5543432,Ministry of Finance,2012,0,620000
Gansu,China,Provincial Level,Statutory Limits on Local Government Debt,CNY 100mn,M5543432,Ministry of Finance,2013,0,620000
Gansu,China,Provincial Level,Statutory Limits on Local Government Debt,CNY 100mn,M5543432,Ministry of Finance,2014,0,620000
Gansu,China,Provincial Level,Statutory Limits on Local Government Debt,CNY 100mn,M5543432,Ministry of Finance,2015,488,620000
Gansu,China,Revenue of Local Government Funds,Total,CNY 10k,M0160194,Gansu Provincial Department of Finance,2019,5208237,620000
Gansu,China,Revenue of Local Government Funds,Total,CNY 10k,M0160194,Gansu Provincial Department of Finance,2006,0,620000
Gansu,China,Revenue of Local Government Funds,Total,CNY 10k,M0160194,Gansu Provincial Department of Finance,2007,0,620000
Gansu,China,Provincial Level,Statutory Limits on Local Government Debt,CNY 100mn,M5543432,Ministry of Finance,2006,0,620000
Gansu,China,Provincial Level,Statutory Limits on Local Government Debt,CNY 100mn,M5543432,Ministry of Finance,2007,0,620000
Gansu,China,Provincial Level,Statutory Limits on Local Government Debt,CNY 100mn,M5543432,Ministry of Finance,2008,0,620000
Gansu,China,Provincial Level,Statutory Limits on Local Government Debt,CNY 100mn,M5543432,Ministry of Finance,2009,0,620000
Gansu,China,Provincial Level,Statutory Limits on Local Government Debt,CNY 100mn,M5543432,Ministry of Finance,2010,0,620000
Gansu,China,Provincial Level,Statutory Limits on Local Government Debt,CNY 100mn,M5543432,Ministry of Finance,2011,0,620000
Gansu,China,Provincial Level,Statutory Limits on Local Government Debt,CNY 100mn,M5543432,Ministry of Finance,2016,0,620000
Gansu,China,Provincial Level,Statutory Limits on Local Government Debt,CNY 100mn,M5543432,Ministry of Finance,2017,0,620000
Gansu,China,Provincial Level,Statutory Limits on Local Government Debt,CNY 100mn,M5543432,Ministry of Finance,2018,0,620000
Gansu,China,Provincial Level,Statutory Limits on Local Government Debt,CNY 100mn,M5543432,Ministry of Finance,2019,1014.7,620000
Gansu,China,Provincial Level,Statutory Limits on Local Government Debt,CNY 100mn,M5543432,Ministry of Finance,2020,1341.2,620000
Guangdong,(DC) China,Revenue of Local Government Funds,Compensable Payment for Newly Used Land,CNY 10k,M0159730,Guangdong Provincial Department of Finance,2022,0,440000
Guangdong,China,Revenue of Local Government Funds,Total,CNY 10k,M0159723,Guangdong Provincial Department of Finance,2022,51961873,440000
Guangdong,(DC) China,Revenue of Local Government Funds,Compensable Payment for Newly Used Land,CNY 10k,M0159730,Guangdong Provincial Department of Finance,2019,0,440000
Guangdong,(DC) China,Revenue of Local Government Funds,Compensable Payment for Newly Used Land,CNY 10k,M0159730,Guangdong Provincial Department of Finance,2020,0,440000
Guangdong,(DC) China,Revenue of Local Government Funds,Compensable Payment for Newly Used Land,CNY 10k,M0159730,Guangdong Provincial Department of Finance,2021,0,440000
Guangdong,(DC) China,Revenue of Local Government Funds,Compensable Payment for Newly Used Land,CNY 10k,M0159730,Guangdong Provincial Department of Finance,2018,0,440000
Guangdong,China,Revenue of Local Government Funds,Total,CNY 10k,M0159723,Guangdong Provincial Department of Finance,2010,0,440000
Guangdong,China,Revenue of Local Government Funds,Total,CNY 10k,M0159723,Guangdong Provincial Department of Finance,2011,23107088,440000
Guangdong,China,Revenue of Local Government Funds,Total,CNY 10k,M0159723,Guangdong Provincial Department of Finance,2009,0,440000
Guangdong,China,Revenue of Local Government Funds,Total,CNY 10k,M0159723,Guangdong Provincial Department of Finance,2012,22640290,440000
Guangdong,China,Revenue of Local Government Funds,Total,CNY 10k,M0159723,Guangdong Provincial Department of Finance,2019,61149400,440000
Guangdong,China,Revenue of Local Government Funds,Total,CNY 10k,M0159723,Guangdong Provincial Department of Finance,2020,86424200,440000
Guangdong,China,Revenue of Local Government Funds,Total,CNY 10k,M0159723,Guangdong Provincial Department of Finance,2008,0,440000
Guangdong,China,Revenue of Local Government Funds,Total,CNY 10k,M0159723,Guangdong Provincial Department of Finance,2016,38699868,440000
Guangdong,China,Revenue of Local Government Funds,Total,CNY 10k,M0159723,Guangdong Provincial Department of Finance,2013,36737246,440000
Guangdong,China,Revenue of Local Government Funds,Total,CNY 10k,M0159723,Guangdong Provincial Department of Finance,2014,40624334,440000
Guangdong,China,Revenue of Local Government Funds,Total,CNY 10k,M0159723,Guangdong Provincial Department of Finance,2021,84919100,440000
Guangdong,China,Revenue of Local Government Funds,Total,CNY 10k,M0159723,Guangdong Provincial Department of Finance,2007,0,440000
Guangdong,China,Revenue of Local Government Funds,Total,CNY 10k,M0159723,Guangdong Provincial Department of Finance,2006,0,440000
Guangdong,China,Revenue of Local Government Funds,Total,CNY 10k,M0159723,Guangdong Provincial Department of Finance,2018,59444800,440000
Guangdong,(DC) China,Revenue of Local Government Funds,Compensable Payment for Newly Used Land,CNY 10k,M0159730,Guangdong Provincial Department of Finance,2006,0,440000
Guangdong,China,Revenue of Local Government Funds,Total,CNY 10k,M0159723,Guangdong Provincial Department of Finance,2015,35551499,440000
Guangdong,(DC) China,Revenue of Local Government Funds,Compensable Payment for Newly Used Land,CNY 10k,M0159730,Guangdong Provincial Department of Finance,2007,0,440000
Guangdong,(DC) China,Revenue of Local Government Funds,Compensable Payment for Newly Used Land,CNY 10k,M0159730,Guangdong Provincial Department of Finance,2008,0,440000
Guangdong,(DC) China,Revenue of Local Government Funds,Compensable Payment for Newly Used Land,CNY 10k,M0159730,Guangdong Provincial Department of Finance,2017,0,440000
Guangdong,(DC) China,Revenue of Local Government Funds,Compensable Payment for Newly Used Land,CNY 10k,M0159730,Guangdong Provincial Department of Finance,2016,567064,440000
Guangdong,(DC) China,Revenue of Local Government Funds,Compensable Payment for Newly Used Land,CNY 10k,M0159730,Guangdong Provincial Department of Finance,2011,502835,440000
Guangdong,(DC) China,Revenue of Local Government Funds,Compensable Payment for Newly Used Land,CNY 10k,M0159730,Guangdong Provincial Department of Finance,2012,620777,440000
Guangdong,(DC) China,Revenue of Local Government Funds,Compensable Payment for Newly Used Land,CNY 10k,M0159730,Guangdong Provincial Department of Finance,2009,0,440000
Guangdong,(DC) China,Revenue of Local Government Funds,Compensable Payment for Newly Used Land,CNY 10k,M0159730,Guangdong Provincial Department of Finance,2015,762663,440000
Guangdong,(DC) China,Revenue of Local Government Funds,Compensable Payment for Newly Used Land,CNY 10k,M0159730,Guangdong Provincial Department of Finance,2014,526923,440000
Guangdong,China,Revenue of Local Government Funds,Total,CNY 10k,M0159723,Guangdong Provincial Department of Finance,2017,56221500,440000
